row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Vốn khác thuộcchủ sở hữu,Lợi nhuận sau thuếchưa phân phối,Lợi ích cổ đôngkhông kiểm soát,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Vốn khác thuộcchủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__Lợi ích cổ đôngkhông kiểm soát,numeric__VNDTổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.500.714.120.000,10.867.980.806,(2.500.560.000),35.018.748.857,-,1.455.564.086.735,1.199.429.709.585,6.199.094.085.983,3500714120000.0,10867980806.0,-2500560000.0,35018748857.0,,1455564086735.0,1199429709585.0,6199094085983.0
Phát hành cổ phiếu cho cổđông hiện hữu,Năm nay > Phát hành cổ phiếu cho cổđông hiện hữu,Phát hành cổ phiếu cho cổđông hiện hữu,874.553.390.000,(190.000.000),-,-,-,-,-,874.363.390.000,874553390000.0,-190000000.0,,,,,,874363390000.0
Cổ tức bằng cổ phiếu,Năm nay > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,769.559.160.000,-,-,-,-,(769.559.160.000),-,-,769559160000.0,,,,,-769559160000.0,,
Cổ tức bằng cổ phiếu từ côngty con,Năm nay > Cổ tức bằng cổ phiếu từ côngty con,Cổ tức bằng cổ phiếu từ côngty con,-,-,-,-,6.530.490.000,(6.530.490.000),-,-,,,,,6530490000.0,-6530490000.0,,
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,1.216.514.755.922,669.703.901.400,1.886.218.657.322,,,,,,1216514755922.0,669703901400.0,1886218657322.0
Trích quỹ đầu tư phát triển,Năm nay > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,23.568.539.705,-,(23.568.539.705),-,-,,,,23568539705.0,,-23568539705.0,,
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(83.621.303.180),(46.421.939.382),(130.043.242.562),,,,,,-83621303180.0,-46421939382.0,-130043242562.0
Góp vốn tử cổ đông không kiểm soát,Năm nay > Góp vốn tử cổ đông không kiểm soát,Góp vốn tử cổ đông không kiểm soát,-,-,-,-,-,-,761.862.562.000,761.862.562.000,,,,,,,761862562000.0,761862562000.0
Cổ tức chia cho cổ đông không kiểm soát,Năm nay > Cổ tức chia cho cổ đông không kiểm soát,Cổ tức chia cho cổ đông không kiểm soát,-,-,-,-,-,-,(385.019.819.659),(385.019.819.659),,,,,,,-385019819659.0,-385019819659.0
Phát hành cổ phiếu theoChương trình lựa chọn cho người lao động,Năm nay > Phát hành cổ phiếu theoChương trình lựa chọn cho người lao động,Phát hành cổ phiếu theoChương trình lựa chọn cho người lao động,55.520.000.000,-,-,-,-,(55.520.000.000),-,-,55520000000.0,,,,,-55520000000.0,,
Chuyển nhượng cổ phần,Năm nay > Chuyển nhượng cổ phần,Chuyển nhượng cổ phần,-,-,-,-,-,948.459.799,20.397.275.201,21.345.735.000,,,,,,948459799.0,20397275201.0,21345735000.0
Thay đổi tử việc tái cấu trúc,Năm nay > Thay đổi tử việc tái cấu trúc,Thay đổi tử việc tái cấu trúc,-,-,-,(482.409.223),-,(18.446.078.056),18.928.487.279,-,,,,-482409223.0,,-18446078056.0,18928487279.0,
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,5.200.346.670.000,10.677.980.806,(2.500.560.000),58.104.879.339,6.530.490.000,1.715.781.731.515,2.238.880.176.424,9.227.821.368.084,5200346670000.0,10677980806.0,-2500560000.0,58104879339.0,6530490000.0,1715781731515.0,2238880176424.0,9227821368084.0
