row_label_raw,row_label_full,Công ty Cổ phần Tập đoàn Đất XanhTHUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Công ty Cổ phần Tập đoàn Đất XanhTHUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày_1,Công ty Cổ phần Tập đoàn Đất XanhTHUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày_2,Công ty Cổ phần Tập đoàn Đất XanhTHUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày_3,Công ty Cổ phần Tập đoàn Đất XanhTHUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày_4,Công ty Cổ phần Tập đoàn Đất XanhTHUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày_5,numeric__Công ty Cổ phần Tập đoàn Đất XanhTHUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày_1,numeric__Công ty Cổ phần Tập đoàn Đất XanhTHUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày_2,numeric__Công ty Cổ phần Tập đoàn Đất XanhTHUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày_3,numeric__Công ty Cổ phần Tập đoàn Đất XanhTHUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày_4,numeric__Công ty Cổ phần Tập đoàn Đất XanhTHUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày_5
,,,Quyền sử dụng đất,Phần mềm,Trang web,Tài sân khác,VND Tổng cộng,,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,13.604.427.761,11.448.040.917,657.166.005,482.733.600,26.192.368.283,13604427761.0,11448040917.0,657166005.0,482733600.0,26192368283.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,12.325.169.317,-,-,12.325.169.317,,12325169317.0,,,12325169317.0
Kết chuyển từ đầu tư xây dựng cơ bản đồ dang,Nguyên giá: > Kết chuyển từ đầu tư xây dựng cơ bản đồ dang,Kết chuyển từ đầu tư xây dựng cơ bản đồ dang,-,32.500.000,-,-,32.500.000,,32500000.0,,,32500000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,13.604.427.761,23.805.710.234,657.166.005,482.733.600,38.550.037.600,13604427761.0,23805710234.0,657166005.0,482733600.0,38550037600.0
Trong đó:Đã hao mòn hết,Nguyên giá: > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,-,735.341.309,442.166.005,310.734.600,1.488.241.914,,735341309.0,442166005.0,310734600.0,1488241914.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(3.044.796.760),(580.916.015),(322.588.542),(3.948.301.317),,-3044796760.0,-580916015.0,-322588542.0,-3948301317.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(3.003.097.787),(61.250.002),(59.812.302),(3.124.160.091),,-3003097787.0,-61250002.0,-59812302.0,-3124160091.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(6.047.894.547),(642.166.017),(382.400.844),(7.072.461.408),,-6047894547.0,-642166017.0,-382400844.0,-7072461408.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,13.604.427.761,8.403.244.157,76.249.990,160.145.058,22.244.066.966,13604427761.0,8403244157.0,76249990.0,160145058.0,22244066966.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,13.604.427.761,17.757.815.687,14.999.988,100.332.756,31.477.576.192,13604427761.0,17757815687.0,14999988.0,100332756.0,31477576192.0
