row_label_raw,row_label_full,ty Cổ phần Tập đoàn Đất Xanh,ty Cổ phần Tập đoàn Đất Xanh_1,ty Cổ phần Tập đoàn Đất Xanh_2,ty Cổ phần Tập đoàn Đất Xanh_3,ty Cổ phần Tập đoàn Đất Xanh_4,ty Cổ phần Tập đoàn Đất Xanh_5,ty Cổ phần Tập đoàn Đất Xanh_6,numeric__ty Cổ phần Tập đoàn Đất Xanh_1,numeric__ty Cổ phần Tập đoàn Đất Xanh_2,numeric__ty Cổ phần Tập đoàn Đất Xanh_3,numeric__ty Cổ phần Tập đoàn Đất Xanh_4,numeric__ty Cổ phần Tập đoàn Đất Xanh_5,numeric__ty Cổ phần Tập đoàn Đất Xanh_6
,,,Nhà cửa vàvật kiến trúc,"Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sảncó định khác,VNDTổng cộng,,,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,282.279.818,17.610.660.932,54.898.301.451,7.526.524.075,1.921.652.729,82.239.419.005,282279818.0,17610660932.0,54898301451.0,7526524075.0,1921652729.0,82239419005.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,489.896.000,2.004.534.549,24.935.186.181,16.798.616.479,1.223.278.809,45.451.512.018,489896000.0,2004534549.0,24935186181.0,16798616479.0,1223278809.0,45451512018.0
Kết chuyển từ đầu tư xây dựngcơ bản dở dang,Nguyên giá: > Kết chuyển từ đầu tư xây dựngcơ bản dở dang,Kết chuyển từ đầu tư xây dựngcơ bản dở dang,254.332.527.871,-,-,-,-,254.332.527.871,254332527871.0,,,,,254332527871.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,-,(2.484.318.182),(102.365.000),-,(2.586.683.182),,,-2484318182.0,-102365000.0,,-2586683182.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,255.104.703.689,19.615.195.481,77.349.169.450,24.222.775.554,3.144.931.538,379.436.775.712,255104703689.0,19615195481.0,77349169450.0,24222775554.0,3144931538.0,379436775712.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,2.527.927.273,7.532.619.389,1.148.950.990,-,11.209.497.652,,2527927273.0,7532619389.0,1148950990.0,,11209497652.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(150.303.439),(2.858.749.965),(21.566.770.605),(3.577.423.206),(547.002.946),(28.700.250.161),-150303439.0,-2858749965.0,-21566770605.0,-3577423206.0,-547002946.0,-28700250161.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(6.281.684.269),(2.022.566.979),(9.613.982.904),(3.370.033.990),(547.583.107),(21.835.851.249),-6281684269.0,-2022566979.0,-9613982904.0,-3370033990.0,-547583107.0,-21835851249.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,-,1.189.117.704,73.958.689,-,1.263.076.393,,,1189117704.0,73958689.0,,1263076393.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(6.431.987.708),(4.881.316.944),(29.991.635.805),(6.873.498.507),(1.094.586.053),(49.273.025.017),-6431987708.0,-4881316944.0,-29991635805.0,-6873498507.0,-1094586053.0,-49273025017.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,131.976.379,14.751.910.967,33.331.530.846,3.949.100.869,1.374.649.783,53.539.168.844,131976379.0,14751910967.0,33331530846.0,3949100869.0,1374649783.0,53539168844.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,248.672.715.981,14.733.878.537,47.357.533.645,17.349.277.047,2.050.345.485,330.163.750.695,248672715981.0,14733878537.0,47357533645.0,17349277047.0,2050345485.0,330163750695.0
Trong đó:Theé chấp để đảm bảo các khoản vay(Thuyết minh số 26.1 và 26.2),Giá trị còn lại: > Trong đó:Theé chấp để đảm bảo các khoản vay(Thuyết minh số 26.1 và 26.2),Trong đó:Theé chấp để đảm bảo các khoản vay(Thuyết minh số 26.1 và 26.2),-,3.007.665.475,12.833.099.701,-,-,15.840.765.176,,3007665475.0,12833099701.0,,,15840765176.0
