row_label_raw,row_label_full,Bên liên quan > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Mối quan hệ > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Nội dung nghiệp vụ > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Số cuối năm > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Đơn vị tính: VND > Số đầu năm > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Mối quan hệ > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Nội dung nghiệp vụ > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Số cuối năm > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Đơn vị tính: VND > Số đầu năm > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2)
Công ty PBAT,Công ty PBAT,Công ty PBAT,Công ty con,Mua hàng hóa,-,1.000.000.000,,,,1000000000.0
,,,,,-,1.000.000.000,,,,1000000000.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,,
Công ty An Phát Complex,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Cho vay,-,257.980.000.000,,,,257980000000.0
Công ty PBAT,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty PBAT,Công ty PBAT,Công ty con,Cho vay,-,98.940.000.000,,,,98940000000.0
,,,,,-,356.920.000.000,,,,356920000000.0
Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),,,,
Công ty An Vinh,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty An Vinh,Công ty An Vinh,Công ty con,Cho vay,-,15.000.000.000,,,,15000000000.0
,,,,,-,15.000.000.000,,,,15000000000.0
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Công ty CP Giải pháp và Dịch vụ phần mềm Nam Việt,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty CP Giải pháp và Dịch vụ phần mềm Nam Việt,Công ty CP Giải pháp và Dịch vụ phần mềm Nam Việt,Công ty liên kết,Cổ tức được chia,441.000.000,-,,,441000000.0,
Công ty An Phát Complex,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Lãi phải thu,-,12.263.239.316,,,,12263239316.0
Công ty PBAT,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty PBAT,Công ty PBAT,Công ty con,Lãi phải thu,-,6.014.336.439,,,,6014336439.0
Ông Phạm Ánh Dương,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Lãnh đạo chủ chốt của công ty An Phát Holdings (tính đến ngày 09/10/2024),Phải thu từ chi trả hộ và tạm ứng,-,479.095.283,,,,479095283.0
Bên liên quan khác,Phải thu ngắn hạn khác (Thuyết minh số 9) > Bên liên quan khác,Bên liên quan khác,,Phải thu khác,-,271.672.735,,,,271672735.0
,,,,,441.000.000,19.028.343.773,,,441000000.0,19028343773.0
