row_label_raw,row_label_full,Másố,CHÍ TIẾU,Thuyếtminh,Năm nay,Năm trước,numeric__CHÍ TIẾU,numeric__Thuyếtminh,numeric__Năm nay,numeric__Năm trước
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,24.1,4.017.916.547.847,4.151.047.628.319,,241.0,4017916547847.0,4151047628319.0
02,02,02,Các khoản giảm trừ doanh thu,24.1,-,(113.324.950),,241.0,,-113324950.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,24.1,4.017.916.547.847,4.150.934.303.369,,241.0,4017916547847.0,4150934303369.0
11,11,11,Giá vốn hàng bản và dịch vụ cung cấp,25,(3.396.124.168.342),(3.631.241.292.475),,25.0,-3396124168342.0,-3631241292475.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,621.792.379.505,519.693.010.894,,,621792379505.0,519693010894.0
21,21,21,Doanh thu hoạt động tài chính,24.2,303.779.356.341,149.673.119.824,,242.0,303779356341.0,149673119824.0
22,22,22,Chi phí tài chínhTrong đó Chi phí lãi vay (không bao gồm chi phí phát hành trải phiếu),26,(224.000.595.090),(191.913.520.607),,26.0,-224000595090.0,-191913520607.0
23,23,23,Chi phí tài chínhTrong đó Chi phí lãi vay (không bao gồm chi phí phát hành trải phiếu),,(105.463.320.371),(119.641.696.676),,,-105463320371.0,-119641696676.0
25,25,25,Chi phí bán hàng,27,(241.526.246.873),(188.950.499.426),,27.0,-241526246873.0,-188950499426.0
26,26,26,Chi phí quản lý doanh nghiệp,27,(102.532.361.832),(76.828.312.841),,27.0,-102532361832.0,-76828312841.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,357.512.532.051,211.673.797.844,,,357512532051.0,211673797844.0
31,31,31,Thu nhập khác,29,5.094.041.692,6.648.060.622,,29.0,5094041692.0,6648060622.0
32,32,32,Chi phí khác,29,(4.766.055.574),(4.572.217.135),,29.0,-4766055574.0,-4572217135.0
40,40,40,Lợi nhuận khác,,327.986.118,2.075.843.487,,,327986118.0,2075843487.0
50,50,50,Tổng lợi nhuận kê toán trước thuế,,357.840.518.169,213.749.641.331,,,357840518169.0,213749641331.0
51,51,51,Chi phí thuế TNDN hiện hành,30.1,(60.979.858.948),(49.188.807.503),,301.0,-60979858948.0,-49188807503.0
52,52,52,Chi phí thuế TNDN hoàn lại,30.3,(354.849.413),(338.735.610),,303.0,-354849413.0,-338735610.0
60,60,60,Lợi nhuận sau thuế TNDN,,296.505.809.808,164.222.098.218,,,296505809808.0,164222098218.0
