row_label_raw,row_label_full,Công ty An Tiến,Công ty con,Cung cấp dịch vụ,63.874.068.365,7.663.245.643,numeric__Công ty con,numeric__Cung cấp dịch vụ,numeric__63.874.068.365,numeric__7.663.245.643
"AFC Ecoplastics, LLC.","AFC Ecoplastics, LLC.","AFC Ecoplastics, LLC.",Công ty con,Bán hàng hóa và cung cấp dịch vụ,930.562.225,28.034.876,,,930562225.0,28034876.0
,,,,,64.804.630.590,7.691.280.519,,,64804630590.0,7691280519.0
Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),,,,
Công ty An Tín,Phải trả ngắn hạn khác (Thuyết minh số 19) > Công ty An Tín,Công ty An Tín,Công ty con,Chi phí chi trả hộ,1.334.124.547,4.566.576.078,,,1334124547.0,4566576078.0
Công ty An Thành,Phải trả ngắn hạn khác (Thuyết minh số 19) > Công ty An Thành,Công ty An Thành,Công ty con,Chi phí chi trả hộ,16.252.280,-,,,16252280.0,
,,,,,1.350.376.827,4.566.576.078,,,1350376827.0,4566576078.0
