row_label_raw,row_label_full,Đầu tư nấm giữ đến ngày đáo hạn,Số cuối năm > Giá gốc > Đầu tư nấm giữ đến ngày đáo hạn,Số cuối năm > Giá trị ghi sổ > Đầu tư nấm giữ đến ngày đáo hạn,Số cuối năm > Dự phòng > Đầu tư nấm giữ đến ngày đáo hạn,Số đầu năm > Giá gốc > Đầu tư nấm giữ đến ngày đáo hạn,Số đầu năm > Giá trị ghi sổ > Đầu tư nấm giữ đến ngày đáo hạn,Số đầu năm > Dự phòng > Đầu tư nấm giữ đến ngày đáo hạn,numeric__Số cuối năm > Giá gốc > Đầu tư nấm giữ đến ngày đáo hạn,numeric__Số cuối năm > Giá trị ghi sổ > Đầu tư nấm giữ đến ngày đáo hạn,numeric__Số cuối năm > Dự phòng > Đầu tư nấm giữ đến ngày đáo hạn,numeric__Số đầu năm > Giá gốc > Đầu tư nấm giữ đến ngày đáo hạn,numeric__Số đầu năm > Giá trị ghi sổ > Đầu tư nấm giữ đến ngày đáo hạn,numeric__Số đầu năm > Dự phòng > Đầu tư nấm giữ đến ngày đáo hạn
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,132.526.500.000,132.526.500.000,-,29.323.936.000,29.323.936.000,-,132526500000.0,132526500000.0,,29323936000.0,29323936000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,132.526.500.000,132.526.500.000,-,29.323.936.000,29.323.936.000,-,132526500000.0,132526500000.0,,29323936000.0,29323936000.0,
