row_label_raw,row_label_full,Ông Nguyễn Lê Thăng Long,Chủ tịch,numeric__Chủ tịch
Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Thành viên,
Bà Trần Thị Thoắn,Bà Trần Thị Thoắn,Bà Trần Thị Thoắn,Thành viên,
Ông Phan Trí Nghĩa,Ông Phan Trí Nghĩa,Ông Phan Trí Nghĩa,Thành viên,
Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Thành viên,
