row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ xuất dùng","Ngắn hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",968.403.817,4.864.331.569,968403817.0,4864331569.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,1.399.057.169,993.160.510,1399057169.0,993160510.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,2.367.460.986,5.857.492.079,2367460986.0,5857492079.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Tiền thuê đất trả trước,Dài hạn > Tiền thuê đất trả trước,Tiền thuê đất trả trước,240.709.372.880,37.713.833.205,240709372880.0,37713833205.0
Chi phí sửa chữa lớn,Dài hạn > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,24.470.438.503,10.555.737.579,24470438503.0,10555737579.0
"Công cụ, dụng cụ xuất dùng","Dài hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",10.891.418.782,8.030.522.457,10891418782.0,8030522457.0
Chi phí trả trước khác,Dài hạn > Chi phí trả trước khác,Chi phí trả trước khác,2.601.545.858,552.349.550,2601545858.0,552349550.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,278.672.776.023,56.852.442.791,278672776023.0,56852442791.0
