row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí vận chuyển và xuất nhập khẩu,Chi phí bán hàng > Chi phí vận chuyển và xuất nhập khẩu,Chi phí vận chuyển và xuất nhập khẩu,144.843.510.155,96.983.321.386,144843510155.0,96983321386.0
Chi phí quảng cáo và hoa hồng bán hàng,Chi phí bán hàng > Chi phí quảng cáo và hoa hồng bán hàng,Chi phí quảng cáo và hoa hồng bán hàng,73.229.224.099,65.712.005.002,73229224099.0,65712005002.0
Chi phí khấu hao tài sản cố định,Chi phí bán hàng > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,4.657.973.410,8.491.327.374,4657973410.0,8491327374.0
Chi phí nhân viên bán hàng,Chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,7.761.239.837,7.336.053.422,7761239837.0,7336053422.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,9.537.773.480,9.340.731.411,9537773480.0,9340731411.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,1.496.525.892,1.087.060.831,1496525892.0,1087060831.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,241.526.246.873,188.950.499.426,241526246873.0,188950499426.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,36.865.631.982,24.934.729.803,36865631982.0,24934729803.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,28.866.190.832,19.436.822.366,28866190832.0,19436822366.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,18.999.898.908,20.479.269.813,18999898908.0,20479269813.0
"Thuế, phí và lệ phí","Chi phí quản lý doanh nghiệp > Thuế, phí và lệ phí","Thuế, phí và lệ phí",7.668.255.786,5.356.623.262,7668255786.0,5356623262.0
Chi phí khác,Chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,10.132.384.324,6.620.867.597,10132384324.0,6620867597.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,102.532.361.832,76.828.312.841,102532361832.0,76828312841.0
