row_label_raw,row_label_full,Ngân hàng > Các khoản vay ngân hàng bằng VND,Ngày 31 tháng 12 năm 2024 (VND) > 684.809.291.852,"Kỳ hạn trả gốc và lãi vay > Thời hạn vay theo từng khế ước nhận nợ, từ 36 tới 72 tháng. Nợ gốc trả hàng quý. Lãi vay trả hàng tháng hoặc quý. Ngày đáo hạn cuối cùng vào tháng 6 năm 2030.","Lãi suất (%/năm) > 5,2% - 8,7%",Hình thức đảm bảo > (ii),numeric__Ngày 31 tháng 12 năm 2024 (VND) > 684.809.291.852,"numeric__Kỳ hạn trả gốc và lãi vay > Thời hạn vay theo từng khế ước nhận nợ, từ 36 tới 72 tháng. Nợ gốc trả hàng quý. Lãi vay trả hàng tháng hoặc quý. Ngày đáo hạn cuối cùng vào tháng 6 năm 2030.","numeric__Lãi suất (%/năm) > 5,2% - 8,7%",numeric__Hình thức đảm bảo > (ii)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,684.809.291.852,,,,684809291852.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,163.824.840.875,,,,163824840875.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,520.984.450.977,,,,520984450977.0,,,
"(ii) Tài sản đảm bảo bao gồm:- Các khoản tiền gửi ngân hàng có kỳ hạn và không kỳ hạn bằng VND và USD của Công ty tại các ngân hàng thương mại với tổng số tiền là 4 tỷ VND;- Các khoản phải thu hình thành tử vốn vay ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hải Dương theo các hợp đồng kinh tế được ký kết giữa Công ty và đối tác khác mà Công ty là người thụ hưởng;- Bảo lãnh cá nhân của một số lãnh đạo chủ chốt của Công ty;- Toàn bộ tài sản gắn liền với đất thuộc Nhà máy 1, 2, 5, 6 và 8;- Các giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất số CY737232, CY338692, CY338691 tại Lô CN11+CN1, khu công nghiệp Kỹ thuật cao An Phát, KM47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương, Việt Nam; và- Một số phương tiện vận tải, máy móc thiết bị và một số tài sản khác.","(ii) Tài sản đảm bảo bao gồm:- Các khoản tiền gửi ngân hàng có kỳ hạn và không kỳ hạn bằng VND và USD của Công ty tại các ngân hàng thương mại với tổng số tiền là 4 tỷ VND;- Các khoản phải thu hình thành tử vốn vay ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hải Dương theo các hợp đồng kinh tế được ký kết giữa Công ty và đối tác khác mà Công ty là người thụ hưởng;- Bảo lãnh cá nhân của một số lãnh đạo chủ chốt của Công ty;- Toàn bộ tài sản gắn liền với đất thuộc Nhà máy 1, 2, 5, 6 và 8;- Các giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất số CY737232, CY338692, CY338691 tại Lô CN11+CN1, khu công nghiệp Kỹ thuật cao An Phát, KM47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương, Việt Nam; và- Một số phương tiện vận tải, máy móc thiết bị và một số tài sản khác.","(ii) Tài sản đảm bảo bao gồm:- Các khoản tiền gửi ngân hàng có kỳ hạn và không kỳ hạn bằng VND và USD của Công ty tại các ngân hàng thương mại với tổng số tiền là 4 tỷ VND;- Các khoản phải thu hình thành tử vốn vay ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hải Dương theo các hợp đồng kinh tế được ký kết giữa Công ty và đối tác khác mà Công ty là người thụ hưởng;- Bảo lãnh cá nhân của một số lãnh đạo chủ chốt của Công ty;- Toàn bộ tài sản gắn liền với đất thuộc Nhà máy 1, 2, 5, 6 và 8;- Các giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất số CY737232, CY338692, CY338691 tại Lô CN11+CN1, khu công nghiệp Kỹ thuật cao An Phát, KM47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương, Việt Nam; và- Một số phương tiện vận tải, máy móc thiết bị và một số tài sản khác.","(ii) Tài sản đảm bảo bao gồm:- Các khoản tiền gửi ngân hàng có kỳ hạn và không kỳ hạn bằng VND và USD của Công ty tại các ngân hàng thương mại với tổng số tiền là 4 tỷ VND;- Các khoản phải thu hình thành tử vốn vay ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hải Dương theo các hợp đồng kinh tế được ký kết giữa Công ty và đối tác khác mà Công ty là người thụ hưởng;- Bảo lãnh cá nhân của một số lãnh đạo chủ chốt của Công ty;- Toàn bộ tài sản gắn liền với đất thuộc Nhà máy 1, 2, 5, 6 và 8;- Các giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất số CY737232, CY338692, CY338691 tại Lô CN11+CN1, khu công nghiệp Kỹ thuật cao An Phát, KM47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương, Việt Nam; và- Một số phương tiện vận tải, máy móc thiết bị và một số tài sản khác.","(ii) Tài sản đảm bảo bao gồm:- Các khoản tiền gửi ngân hàng có kỳ hạn và không kỳ hạn bằng VND và USD của Công ty tại các ngân hàng thương mại với tổng số tiền là 4 tỷ VND;- Các khoản phải thu hình thành tử vốn vay ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hải Dương theo các hợp đồng kinh tế được ký kết giữa Công ty và đối tác khác mà Công ty là người thụ hưởng;- Bảo lãnh cá nhân của một số lãnh đạo chủ chốt của Công ty;- Toàn bộ tài sản gắn liền với đất thuộc Nhà máy 1, 2, 5, 6 và 8;- Các giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất số CY737232, CY338692, CY338691 tại Lô CN11+CN1, khu công nghiệp Kỹ thuật cao An Phát, KM47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương, Việt Nam; và- Một số phương tiện vận tải, máy móc thiết bị và một số tài sản khác.","(ii) Tài sản đảm bảo bao gồm:- Các khoản tiền gửi ngân hàng có kỳ hạn và không kỳ hạn bằng VND và USD của Công ty tại các ngân hàng thương mại với tổng số tiền là 4 tỷ VND;- Các khoản phải thu hình thành tử vốn vay ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hải Dương theo các hợp đồng kinh tế được ký kết giữa Công ty và đối tác khác mà Công ty là người thụ hưởng;- Bảo lãnh cá nhân của một số lãnh đạo chủ chốt của Công ty;- Toàn bộ tài sản gắn liền với đất thuộc Nhà máy 1, 2, 5, 6 và 8;- Các giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất số CY737232, CY338692, CY338691 tại Lô CN11+CN1, khu công nghiệp Kỹ thuật cao An Phát, KM47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương, Việt Nam; và- Một số phương tiện vận tải, máy móc thiết bị và một số tài sản khác.","(ii) Tài sản đảm bảo bao gồm:- Các khoản tiền gửi ngân hàng có kỳ hạn và không kỳ hạn bằng VND và USD của Công ty tại các ngân hàng thương mại với tổng số tiền là 4 tỷ VND;- Các khoản phải thu hình thành tử vốn vay ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hải Dương theo các hợp đồng kinh tế được ký kết giữa Công ty và đối tác khác mà Công ty là người thụ hưởng;- Bảo lãnh cá nhân của một số lãnh đạo chủ chốt của Công ty;- Toàn bộ tài sản gắn liền với đất thuộc Nhà máy 1, 2, 5, 6 và 8;- Các giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất số CY737232, CY338692, CY338691 tại Lô CN11+CN1, khu công nghiệp Kỹ thuật cao An Phát, KM47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương, Việt Nam; và- Một số phương tiện vận tải, máy móc thiết bị và một số tài sản khác.",,,,
