row_label_raw,row_label_full,Phải trả bên liên quan (Thuyết minh số 31),Số cuối năm > 1.350.376.827,Đơn vị tính: VND > Số đầu năm > 4.566.576.078,numeric__Số cuối năm > 1.350.376.827,numeric__Đơn vị tính: VND > Số đầu năm > 4.566.576.078
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,109.328.043,109.328.043,109328043.0,109328043.0
Phải trả khác,Phải trả khác,Phải trả khác,1.067.982.356,373.483.641,1067982356.0,373483641.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.527.687.226,5.049.387.762,2527687226.0,5049387762.0
