row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Hoạt động sản xuất > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Hoạt động kinh doanh thương mại > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Hoạt động khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Hoạt động sản xuất > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Hoạt động kinh doanh thương mại > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Hoạt động khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,3.833.505.093.695,166.498.171.069,17.913.283.083,4.017.916.547.847,3833505093695.0,166498171069.0,17913283083.0,4017916547847.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,-,-,-,-,,,,
Tổng doanh thu,Doanh thu từ bán hàng cho các bộ phận > Tổng doanh thu,Tổng doanh thu,3.833.505.093.695,166.498.171.069,17.913.283.083,4.017.916.547.847,3833505093695.0,166498171069.0,17913283083.0,4017916547847.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận thuần trước thuế của bộ phận,Kết quả > Lợi nhuận thuần trước thuế của bộ phận,Lợi nhuận thuần trước thuế của bộ phận,602.433.153.399,3.219.393.518,16.139.832.588,621.792.379.505(263.951.861.336),602433153399.0,3219393518.0,16139832588.0,
Chi phí không phân bổ (i),Chi phí không phân bổ (i),Chi phí không phân bổ (i),,,,,,,,
Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,357.840.518.169(61.334.708.361),,,,
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,,,
Lợi nhuận thuần sau thuế,Chi phí thuế thu nhập doanh nghiệp > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,296.505.809.808,,,,296505809808.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,,,,
Tài sản cố định hữu hình,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Tài sản cố định hữu hình,Tài sản cố định hữu hình,307.319.746.596,15.530.075.922,168.679.734,323.018.502.252,307319746596.0,15530075922.0,168679734.0,323018502252.0
Chi phí xây dựng cơ bản dở dang,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,157.645.025.029,7.966.423.357,86.527.212,165.697.975.598,157645025029.0,7966423357.0,86527212.0,165697975598.0
Khấu hao và hao mòn,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Khấu hao và hao mòn,Khấu hao và hao mòn,161.256.198.018,8.148.910.136,88.509.290,169.493.617.444,161256198018.0,8148910136.0,88509290.0,169493617444.0
Phân bổ chi phí trả trước dài hạn,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Phân bổ chi phí trả trước dài hạn,Phân bổ chi phí trả trước dài hạn,3.252.436.724,164.358.424,1.785.177,3.418.580.325,3252436724.0,164358424.0,1785177.0,3418580325.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,2.642.315.616.978,131.901.472.104,2.418.853.631,2.776.635.942.713,2642315616978.0,131901472104.0,2418853631.0,2776635942713.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,5.436.431.113.402,,,,5436431113402.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,8.213.067.056.115,,,,8213067056115.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,464.268.283.293,22.727.599.833,680.892.556,487.676.775.682,464268283293.0,22727599833.0,680892556.0,487676775682.0
Công nợ không phân bổ (iii),Tài sản và công nợ > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),,,,2.272.568.607.749,,,,2272568607749.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,2.760.245.383.431,,,,2760245383431.0
