row_label_raw,row_label_full,Bên liên quan > Công ty An Cường > Công ty Nhựa Hà Nội,Mối quan hệ > Công ty con(từ ngày 26 tháng 9 năm 2024),Nội dung nghiệp vụ > Cho vayNhận tiền cho vayMua hàngThanh toán tiền hàngDoanh thu bán hàng và cung cấp dịch vụThu tiền hàng và dịch vụLãi cho vay > Cổ tức được chiaNhận cổ tức bằng tiềnDoanh thu bán hàng hóaNhận thanh toán tiền hàng,Năm nay > 21.184.019.40021.184.019.40010.052.244.1675.149.506.1742.542.140.7912.596.301.277484.315.566 > 17.286.257.00017.286.257.0007.654.948.0008.419.591.325,Năm trước > - -399.603.130432.754.62340.502.199.118161.885.841.157- > 17.286.257.00017.286.257.00015.000.000173.126.000,numeric__Mối quan hệ > Công ty con(từ ngày 26 tháng 9 năm 2024),numeric__Nội dung nghiệp vụ > Cho vayNhận tiền cho vayMua hàngThanh toán tiền hàngDoanh thu bán hàng và cung cấp dịch vụThu tiền hàng và dịch vụLãi cho vay > Cổ tức được chiaNhận cổ tức bằng tiềnDoanh thu bán hàng hóaNhận thanh toán tiền hàng,numeric__Năm nay > 21.184.019.40021.184.019.40010.052.244.1675.149.506.1742.542.140.7912.596.301.277484.315.566 > 17.286.257.00017.286.257.0007.654.948.0008.419.591.325,numeric__Năm trước > - -399.603.130432.754.62340.502.199.118161.885.841.157- > 17.286.257.00017.286.257.00015.000.000173.126.000
Công ty Anbio,Công ty Anbio,Công ty Anbio,Công ty cùng lãnh đạo chủ chốt,Mua hàng hóa dịch vụThanh toán tiền hàng,2.976.0003.214.080,18.523.800.08018.146.087.155,,,29760003214080.0,1.852380008018146e+21
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết của công ty con,"Mua hàng hóa dịch vụThanh toán tiền hàngDoanh thu bán hàng và cung cấp dịch vụThu tiền hàng và dịch vụChi hộ tiền điện, nước",57.658.253.55263.951.818.1868.746.388.73416.108.359.2044.917.906.998,69.235.035.68395.836.144.67210.567.031.53913.232.929.4682.766.058.746,,,5.765825355263951e+52,6.923503568395836e+53
Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty liên kết,Cổ tức được chiaNhận tiền cổ tức,4.703.974.2004.703.974.200,4.703.974.2004.703.974.200,,,4.703974200470398e+19,4.703974200470398e+19
Công ty Suất ăn An Phát,Công ty Suất ăn An Phát,Công ty Suất ăn An Phát,Công ty liên kết của công ty con,Mua hàng hóa dịch vụThanh toán tiền dịch vụDoanh thu bán hàng hóa và cung cấp dịch vụThu tiền hàng và cung cấp dịch vụ,19.036.352.89520.099.468.567228.000.770259.160.132,17.836.100.30119.275.991.912-,,,1.9036352895200994e+39,
