row_label_raw,row_label_full,Công ty An Thành,Công ty con,Bán hàng và cung cấp dịch vụ,4.177.818.227,19.865.316.374,numeric__Công ty con,numeric__Bán hàng và cung cấp dịch vụ,numeric__4.177.818.227,numeric__19.865.316.374
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty con (từ ngày 26 tháng 9 năm 2024),Bán hàng hóa và dịch vụ cho thuê xe,149.313.780,-,,,149313780.0,
Công ty Ankor,Công ty Ankor,Công ty Ankor,Công ty con,Bán hàng,-,5.088.104.000,,,,5088104000.0
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết của công ty con,Bán hàng và cung cấp dịch vụ,-,1.180.802.777,,,,1180802777.0
"An Phat International, Inc.","An Phat International, Inc.","An Phat International, Inc.",Công ty con,Bán hàng,-,2.407.756.792,,,,2407756792.0
Công ty An Vinh,Công ty An Vinh,Công ty An Vinh,Công ty con,Bán hàng và cung cấp dịch vụ,-,557.763.926,,,,557763926.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Bán hàng và cung cấp dịch vụ,-,442.750.000,,,,442750000.0
Công ty Suất ăn An Phát,Công ty Suất ăn An Phát,Công ty Suất ăn An Phát,Công ty liên kết của công ty con,Bán hàng và cung cấp dịch vụ,8.639.400,20.020.600,,,8639400.0,20020600.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,Bán hàng và cung cấp dịch vụ,-,246.420.280,,,,246420280.0
