row_label_raw,row_label_full,STT,Công ty,31 tháng 12 năm 2024,31 tháng 12 năm 2024_1,31 tháng 12 năm 2023,31 tháng 12 năm 2023_1,Địa chỉ,Hoạt động chính,numeric__Công ty,numeric__31 tháng 12 năm 2024,numeric__31 tháng 12 năm 2024_1,numeric__31 tháng 12 năm 2023,numeric__31 tháng 12 năm 2023_1,numeric__Địa chỉ,numeric__Hoạt động chính
STT,STT,STT,Công ty,Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết (%),Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết (%),Địa chỉ,Hoạt động chính,,,,,,,
13,STT > 13,13,"Công ty TNHH An Trung Industries (""Công ty An Trung"") (i)","62,75%",100%,-,,"- Khu Công nghiệp Kỹ thuật cao An Phát, KM47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương","Sản xuất, kinh doanh nhựa bao bị, nhựa kỹ thuật, nhựa gia dụng",,0.6275,1.0,,,,
14,STT > 14,14,"Công ty TNHH Phát triển Xuất nhập khẩu và Đầu tư – VIEXIM (""Công ty VIEXIM"") (i)","62,75%",100%,-,,"- Thôn Hảo, xã Liêu Xá, huyện Yên Mỹ, tỉnh Hưng Yên",Sản xuất và kinh doanh các sản phẩm nhựa,,0.6275,1.0,,,,
15,STT > 15,15,"Công ty TNHH MTV Cơ khí chính xác và chế tạo khuôn mẫu Việt Nam (""Công ty VMC"") (i)","62,75%",100%,-,,"- Khu Công nghiệp Kỹ thuật cao An Phát, KM47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương",Sản xuất khuôn mẫu và sản phẩm gia công cơ khí,,0.6275,1.0,,,,
16,STT > 16,16,"Công ty Cổ phần Vật liệu Xây dựng Công nghệ cao An Cường (""Công ty An Cường"") (i)","62,75%","99,84%",-,,"- Khu Công nghiệp Kỹ thuật cao An Phát, KM47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương","Sản xuất, kinh doanh sản phẩm nhựa nội thất",,0.6275,0.9984000000000001,,,,
17,STT > 17,17,"Công ty Cổ phần Khu Công nghiệp Lương Điền Ngọc Liên (""Công ty Lương Điền Ngọc Liên"") (i)","94,7%","99,99%",-,,"- Lô CN11+CN12, cụm Công nghiệp An Đồng, Thị Trấn Nam Sách, huyện Nam Sách, tỉnh Hải Dương, Việt Nam",Phát triển hạ tầng khu công nghiệp,,0.9470000000000001,0.9998999999999999,,,,
