row_label_raw,row_label_full,Ông Nguyễn Văn Đạt,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Ông Phạm Trọng Hòa,Ông Phạm Trọng Hòa,Ông Phạm Trọng Hòa,Phó Tổng Giám đốc,,,
Ông Nguyễn Tấn Danh,Ông Nguyễn Tấn Danh,Ông Nguyễn Tấn Danh,Phó Tổng Giám đốc,bố nhiệm ngày 14 tháng 9 năm 2015,,
Bà Nguyễn Vũ Thiên Diễm,Bà Nguyễn Vũ Thiên Diễm,Bà Nguyễn Vũ Thiên Diễm,Phó Tổng Giám đốc,từ nhiệm ngày 14 tháng 9 năm 2015,,
