row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Ông Nguyễn Văn Đạt,Ông Nguyễn Văn Đạt,Ông Nguyễn Văn Đạt,Tổng Giám đốc,Mượn tiền,268.350.500.000,48.358.572.000,,,268350500000.0,48358572000.0
Công ty TNHH Luyện Cán Thép Hiệp Phát,Công ty TNHH Luyện Cán Thép Hiệp Phát,Công ty TNHH Luyện Cán Thép Hiệp Phát,Công ty con,Góp vốn,1.691.500.000.000,-,,,1691500000000.0,
Công ty TNHH Bất Đông Sản Điền Gia Khang,Công ty TNHH Bất Đông Sản Điền Gia Khang,Công ty TNHH Bất Đông Sản Điền Gia Khang,Công ty liên kết,Góp vốn,176.000.000.000,-,,,176000000000.0,
Công ty TNHH Bất Đông Sản Điền Gia Khánh,Công ty TNHH Bất Đông Sản Điền Gia Khánh,Công ty TNHH Bất Đông Sản Điền Gia Khánh,Công ty liên kết,Góp vốn,75.000.000.000,-,,,75000000000.0,
Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng,Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng,Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng,Công ty liên kết,Trả trước tiền mua căn hộ,50.000.000.000,-,,,50000000000.0,
Công ty Cổ Phần Thương mại Vận Tải Biển Trường Phát Lộc,Công ty Cổ Phần Thương mại Vận Tải Biển Trường Phát Lộc,Công ty Cổ Phần Thương mại Vận Tải Biển Trường Phát Lộc,Bên liên quan,ICC,125.000.000.000,-,,,125000000000.0,
Công ty Cổ Phần Thương mại Vận Tải Biển Trường Phát Lộc,Công ty Cổ Phần Thương mại Vận Tải Biển Trường Phát Lộc,Công ty Cổ Phần Thương mại Vận Tải Biển Trường Phát Lộc,Bên liên quan,Bán căn hộ,13.687.396.843,-,,,13687396843.0,
Công ty Cổ Phần Thương mại Vận Tải Biển Trường Phát Lộc,Công ty Cổ Phần Thương mại Vận Tải Biển Trường Phát Lộc,Công ty Cổ Phần Thương mại Vận Tải Biển Trường Phát Lộc,Bên liên quan,Thuê văn phòng,1.920.000.000,1.760.000.000,,,1920000000.0,1760000000.0
Bà Trần Thị Hoài An,Bà Trần Thị Hoài An,Bà Trần Thị Hoài An,Bên liên quan,Vay,1.700.000.000,-,,,1700000000.0,
Công ty Cổ phần Tư vấn Quản lý BDSC,Công ty Cổ phần Tư vấn Quản lý BDSC,Công ty Cổ phần Tư vấn Quản lý BDSC,Bên liên quan,Dịch vụ tư vấn,52.250.000,-,,,52250000.0,
