row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty Cổ Phần Thương mại Vận Tài Biển Trường Phát Lộc,Phải thu ngắn hạn của khách hàng > Công ty Cổ Phần Thương mại Vận Tài Biển Trường Phát Lộc,Công ty Cổ Phần Thương mại Vận Tài Biển Trường Phát Lộc,Bên liên quan,Thuế văn phòng,1.407.947.777,352.000.000,,,1407947777.0,352000000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty Cổ Phần Thương mại Vận Tài Biển Trường Phát Lộc,Phải thu ngắn hạn khác > Công ty Cổ Phần Thương mại Vận Tài Biển Trường Phát Lộc,Công ty Cổ Phần Thương mại Vận Tài Biển Trường Phát Lộc,Bên liên quan,ICC,125.000.000.000,-,,,125000000000.0,
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng,Người mua trả tiền trước ngắn hạn > Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng,Công ty TNHH Đầu tư Bất Đông Sản Phú Hưng,Công ty liên kết,Trả trước tiền mua căn hộ,50.000.000.000,-,,,50000000000.0,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Công ty TNHH Luyện Cán Thép Hiệp Phát,Phải trả ngắn hạn khác > Công ty TNHH Luyện Cán Thép Hiệp Phát,Công ty TNHH Luyện Cán Thép Hiệp Phát,Công ty con,Phải trả khác,1.686.525.000.000,-,,,1686525000000.0,
Công ty TNHH Một thành viên Đầu tư Phát Đạt,Phải trả ngắn hạn khác > Công ty TNHH Một thành viên Đầu tư Phát Đạt,Công ty TNHH Một thành viên Đầu tư Phát Đạt,Công ty con,Mượn tiền,131.000.000.000,,,,131000000000.0,
Ông Nguyễn Văn Đạt,Phải trả ngắn hạn khác > Ông Nguyễn Văn Đạt,Ông Nguyễn Văn Đạt,Tổng Giám đốc,Mượn tiền,-,46.501.572.000,,,,46501572000.0
Ông Nguyễn Anh Tuấn,Phải trả ngắn hạn khác > Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,Cổ đông không kiểm soát của công ty con,Chuyển nhượng vốn,4.475.000.000,-,,,4475000000.0,
Ông Nguyễn Văn Phát,Phải trả ngắn hạn khác > Ông Nguyễn Văn Phát,Ông Nguyễn Văn Phát,Cổ đông không kiểm soát của công ty con,Chuyển nhượng vốn,500.000.000,-,,,500000000.0,
,,,,,1.822.500.000.000,46.501.572.000,,,1822500000000.0,46501572000.0
Vay,Vay,Vay,Vay,Vay,Vay,Vay,,,,
Bà Trần Thị Hoài An,Vay > Bà Trần Thị Hoài An,Bà Trần Thị Hoài An,Bên liên quan,Vay,1.700.000.000,-,,,1700000000.0,
