row_label_raw,row_label_full,col_0,Vốn góp,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn góp,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,1.302.000.000.000,12.000.000.000,73.113.584.076,40.420.209.254,1.427.533.793.330,1302000000000.0,12000000000.0,73113584076.0,40420209254.0,1427533793330.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,41.642.296.973,41.642.296.973,,,,41642296973.0,41642296973.0
Thủ lao Hội đồng Quản trị,Năm trước > Thủ lao Hội đồng Quản trị,Thủ lao Hội đồng Quản trị,-,-,-,(882.000.000),(882.000.000),,,,-882000000.0,-882000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.302.000.000.000,12.000.000.000,73.113.584.076,81.180.506.227,1.468.294.090.303,1302000000000.0,12000000000.0,73113584076.0,81180506227.0,1468294090303.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.302.000.000.000,12.000.000.000,73.113.584.076,81.180.506.227,1.468.294.090.303,1302000000000.0,12000000000.0,73113584076.0,81180506227.0,1468294090303.0
Phát hành cổ phiếu,Năm nay > Phát hành cổ phiếu,Phát hành cổ phiếu,651.000.000.000,(319.700.000),-,-,650.680.300.000,651000000000.0,-319700000.0,,,650680300000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,158.544.160.509,158.544.160.509,,,,158544160509.0,158544160509.0
Trích lập quỹ,Năm nay > Trích lập quỹ,Trích lập quỹ,-,-,3.000.000.000,(6.000.000.000),(3.000.000.000),,,3000000000.0,-6000000000.0,-3000000000.0
Cổ tức công bố,Năm nay > Cổ tức công bố,Cổ tức công bố,65.099.710.000,-,-,(65.099.710.000),-,65099710000.0,,,-65099710000.0,
Thủ lao Hội đồng Quản trị,Năm nay > Thủ lao Hội đồng Quản trị,Thủ lao Hội đồng Quản trị,-,-,-,(882.000.000),(882.000.000),,,,-882000000.0,-882000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.018.099.710.000,11.680.300.000,76.113.584.076,167.742.956.736,2.273.636.550.812,2018099710000.0,11680300000.0,76113584076.0,167742956736.0,2273636550812.0
