row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,2.135.834.294,2.966.637.720,5.102.472.014,2135834294.0,2966637720.0,5102472014.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,209.090.909,-,209.090.909,209090909.0,,209090909.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,2.344.925.203,2.966.637.720,5.311.562.923,2344925203.0,2966637720.0,5311562923.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,2.760.136.559,32.000.000,2.792.136.559,2760136559.0,32000000.0,2792136559.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(2.122.035.007),(2.226.819.015),(4.348.854.022),-2122035007.0,-2226819015.0,-4348854022.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(41.072.013),(494.324.306),(535.396.319),-41072013.0,-494324306.0,-535396319.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(2.163.107.020),(2.721.143.321),(4.884.250.341),-2163107020.0,-2721143321.0,-4884250341.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,13.799.287,739.818.705,753.617.992,13799287.0,739818705.0,753617992.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,181.818.183,245.494.399,427.312.582,181818183.0,245494399.0,427312582.0
