row_label_raw,row_label_full,col_0,Số đầu năm(dã được trình bàytrước đây),Trình bày lại,VND > Số đầu năm(được trình bày lại),numeric__Số đầu năm(dã được trình bàytrước đây),numeric__Trình bày lại,numeric__VND > Số đầu năm(được trình bày lại)
BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,,,
Phải thu ngắn hạn củakhách hàng,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Phải thu ngắn hạn củakhách hàng,Phải thu ngắn hạn củakhách hàng,157.246.562.636,(13.749.131.859),143.497.430.777,157246562636.0,-13749131859.0,143497430777.0
Phải thu ngắn hạn khác,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,46.932.785.997,(42.444.200.000),4.488.585.997,46932785997.0,-42444200000.0,4488585997.0
Tài sản ngắn hạn khác,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,55.800.000,(55.800.000),-,55800000.0,-55800000.0,
Tài sản cố định hữu hình,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Tài sản cố định hữu hình,Tài sản cố định hữu hình,1.373.002.910,(619.384.918),753.617.992,1373002910.0,-619384918.0,753617992.0
- Nguyên giá,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > - Nguyên giá,- Nguyên giá,5.962.472.014,(860.000.000),5.102.472.014,5962472014.0,-860000000.0,5102472014.0
- Giá trị khấu hao lũy kế,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > - Giá trị khấu hao lũy kế,- Giá trị khấu hao lũy kế,(4.589.469.104),240.615.082,(4.348.854.022),-4589469104.0,240615082.0,-4348854022.0
Tài sản cố định vô hình,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Tài sản cố định vô hình,Tài sản cố định vô hình,117.681.205.680,(117.672.879.085),8.326.595,117681205680.0,-117672879085.0,8326595.0
- Nguyên giá,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > - Nguyên giá,- Nguyên giá,118.918.037.476,(118.199.556.440),718.481.036,118918037476.0,-118199556440.0,718481036.0
- Giá trị khấu hao lũy kế,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > - Giá trị khấu hao lũy kế,- Giá trị khấu hao lũy kế,(1.236.831.796),526.677.355,(710.154.441),-1236831796.0,526677355.0,-710154441.0
Bất động sản đầu tư,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Bất động sản đầu tư,Bất động sản đầu tư,-,118.292.264.003,118.292.264.003,,118292264003.0,118292264003.0
- Nguyên giá,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > - Nguyên giá,- Nguyên giá,-,119.059.556.440,119.059.556.440,,119059556440.0,119059556440.0
- Giá trị khấu hao lũy kế,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > - Giá trị khấu hao lũy kế,- Giá trị khấu hao lũy kế,-,(767.292.437),(767.292.437),,-767292437.0,-767292437.0
Phải thu dài hạn củakhách hàng,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Phải thu dài hạn củakhách hàng,Phải thu dài hạn củakhách hàng,-,13.749.131.859,13.749.131.859,,13749131859.0,13749131859.0
Phải thu dài hạn khác,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Phải thu dài hạn khác,Phải thu dài hạn khác,-,89.820.000.000,89.820.000.000,,89820000000.0,89820000000.0
Tài sản dài hạn khác,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Tài sản dài hạn khác,Tài sản dài hạn khác,47.320.000.000,(47.320.000.000),-,47320000000.0,-47320000000.0,
Chi phí phải trả dài hạn,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,-,1.028.772.959.703,1.028.772.959.703,,1028772959703.0,1028772959703.0
Phải trả dài hạn khác,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Phải trả dài hạn khác,Phải trả dài hạn khác,1.300.992.633.230,(1.028.772.959.703),272.219.673.527,1300992633230.0,-1028772959703.0,272219673527.0
Quỹ đầu tư phát triển,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,48.742.334.076,24.371.250.000,73.113.584.076,48742334076.0,24371250000.0,73113584076.0
Quỹ dự phòng tài chính,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,24.371.250.000,(24.371.250.000),-,24371250000.0,-24371250000.0,
,,,,,VND,,,
,,,Năm trước(dã được trình bàytrước đây),Trình bày lại,Năm nay(được trình bày lại),,,
BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG,,,
Tăng các khoản phải trả,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Tăng các khoản phải trả,Tăng các khoản phải trả,(199.265.787.435),115.457.115.002,(83.808.672.433),-199265787435.0,115457115002.0,-83808672433.0
Tiền thu khác từ hoạt độngkinh Doanh,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Tiền thu khác từ hoạt độngkinh Doanh,Tiền thu khác từ hoạt độngkinh Doanh,132.051.204.522,(132.051.204.522),-,132051204522.0,-132051204522.0,
Tiền chi khác cho hoạt độngkinh Doanh,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Tiền chi khác cho hoạt độngkinh Doanh,Tiền chi khác cho hoạt độngkinh Doanh,(18.161.942.402),16.594.089.520,(1.567.852.882),-18161942402.0,16594089520.0,-1567852882.0
