row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2020 VND,2019 VND,numeric__Mã số,numeric__Thuyết minh,numeric__2020 VND,numeric__2019 VND
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,01,25,14.377.079.727.436,17.074.078.811.751,1.0,25.0,14377079727436.0,17074078811751.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,25,47.730.047.806,76.033.724.694,2.0,25.0,47730047806.0,76033724694.0
Doanh thu thuần về bán hàng (10 = 01 - 02),Doanh thu thuần về bán hàng (10 = 01 - 02),Doanh thu thuần về bán hàng (10 = 01 - 02),10,25,14.329.349.679.630,16.998.045.087.057,10.0,25.0,14329349679630.0,16998045087057.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,26,12.800.926.931.607,15.313.924.169.612,11.0,26.0,12800926931607.0,15313924169612.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,1.528.422.748.023,1.684.120.917.445,20.0,,1528422748023.0,1684120917445.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,27,199.135.340.470,135.779.853.481,21.0,27.0,199135340470.0,135779853481.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,28,121.703.039.171,266.887.729.738,22.0,28.0,121703039171.0,266887729738.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,88.602.655.651,151.147.211.298,23.0,,88602655651.0,151147211298.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,24,6(c),36.548.340.896,14.039.235.888,24.0,,36548340896.0,14039235888.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,29,670.826.778.754,874.957.244.987,25.0,29.0,670826778754.0,874957244987.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,30,205.279.003.697,197.952.614.516,26.0,30.0,205279003697.0,197952614516.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,766.297.607.767,494.142.417.573,30.0,,766297607767.0,494142417573.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,31,6.786.052.736,5.452.214.222,31.0,31.0,6786052736.0,5452214222.0
Chi phí khác,Chi phí khác,Chi phí khác,32,32,10.660.207.796,1.150.755.002,32.0,32.0,10660207796.0,1150755002.0
Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),40,,(3.874.155.060),4.301.459.220,40.0,,-3874155060.0,4301459220.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,762.423.452.707,498.443.876.793,50.0,,762423452707.0,498443876793.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,34,70.168.275.445,51.164.207.745,51.0,34.0,70168275445.0,51164207745.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,34,18.468.069.947,2.766.345.831,52.0,34.0,18468069947.0,2766345831.0
Lợi nhuận sau thuế TNDN (mang sang trang sau) (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (mang sang trang sau) (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (mang sang trang sau) (60 = 50 - 51 - 52),60,,673.787.107.315,444.513.323.217,60.0,,673787107315.0,444513323217.0
