row_label_raw,row_label_full,Cho năm kết thúc ngày31 tháng 12 năm 2019,Nuôi trồngsản phẩm thủy sảnVND,Chế biếnsản phẩm thủy sảnVND,Kinh doanhsản phẩm thủy sảnVND,Bộ phậnkinh doanh khácVND,Loại trừVND,Hợp nhấtVND,numeric__Nuôi trồngsản phẩm thủy sảnVND,numeric__Chế biếnsản phẩm thủy sảnVND,numeric__Kinh doanhsản phẩm thủy sảnVND,numeric__Bộ phậnkinh doanh khácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,-,5.425.256.647.029,11.531.105.414.743,41.683.025.285,-,16.998.045.087.057,,5425256647029.0,11531105414743.0,41683025285.0,,16998045087057.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,2.733.704.889.521,9.494.266.743.694,2.864.863.467.732,279.083.818.194,(15.371.918.919.141),-,2733704889521.0,9494266743694.0,2864863467732.0,279083818194.0,-15371918919141.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,2.733.704.889.521,14.919.523.390.723,14.395.968.882.475,320.766.843.479,(15.371.918.919.141),16.998.045.087.057,2733704889521.0,14919523390723.0,14395968882475.0,320766843479.0,-15371918919141.0,16998045087057.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,(9.869.859.890),406.427.017.389,133.445.379.534,4.058.041.326,77.150.479.583,611.211.057.942,-9869859890.0,406427017389.0,133445379534.0,4058041326.0,77150479583.0,611211057942.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,135.779.853.481,,,,,,135779853481.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(266.887.729.738),,,,,,-266887729738.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,,14.039.235.888,,,,,,14039235888.0
Lợi nhuận thuần từ hoạt độngkinh doanh,Lợi nhuận thuần từ hoạt độngkinh doanh,Lợi nhuận thuần từ hoạt độngkinh doanh,,,,,,494.142.417.573,,,,,,494142417573.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,5.452.214.222,,,,,,5452214222.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(1.150.755.002),,,,,,-1150755002.0
Chi phí thuế thu nhập doanhnghiệp,Chi phí thuế thu nhập doanhnghiệp,Chi phí thuế thu nhập doanhnghiệp,,,,,,(53.930.553.576),,,,,,-53930553576.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,,444.513.323.217,,,,,,444513323217.0
