row_label_raw,row_label_full,col_0,Quyền sử dụng đất không xác định thời hạn VND,Quyền sử dụng đất có xác định thời hạn VND,Phần mềm máy tính VND,Tổng VND,numeric__Quyền sử dụng đất không xác định thời hạn VND,numeric__Quyền sử dụng đất có xác định thời hạn VND,numeric__Phần mềm máy tính VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,19.229.467.260,119.789.500.098,30.350.276.330,169.369.243.688,19229467260.0,119789500098.0,30350276330.0,169369243688.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,463.000.000,463.000.000,,,463000000.0,463000000.0
Chuyển từ xây dựng cơ bán dở dang,Nguyên giá > Chuyển từ xây dựng cơ bán dở dang,Chuyển từ xây dựng cơ bán dở dang,-,-,463.000.000,463.000.000,,,463000000.0,463000000.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(7.716.740.573),-,(7.716.740.573),,-7716740573.0,,-7716740573.0
Chênh lệch tỷ giá hối đoái,Nguyên giá > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(52.380.560),-,-,(52.380.560),-52380560.0,,,-52380560.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,19.177.086.700,112.072.759.525,31.276.276.330,162.526.122.555,19177086700.0,112072759525.0,31276276330.0,162526122555.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,9.679.121.960,11.734.921.986,21.414.043.946,,9679121960.0,11734921986.0,21414043946.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,2.428.170.250,2.277.661.934,4.705.832.184,,2428170250.0,2277661934.0,4705832184.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(285.572.439),-,(285.572.439),,-285572439.0,,-285572439.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,11.821.719.771,14.012.583.920,25.834.303.691,,11821719771.0,14012583920.0,25834303691.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,19.229.467.260,110.110.378.138,18.615.354.344,147.955.199.742,19229467260.0,110110378138.0,18615354344.0,147955199742.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,19.177.086.700,100.251.039.754,17.263.692.410,136.691.818.864,19177086700.0,100251039754.0,17263692410.0,136691818864.0
