row_label_raw,row_label_full,Số dư đầu năm,2020 > Chênh lệch tạm thời VND > 341.139.993.405,2020 > Giá trị tính thuế VND > 49.382.336.088,numeric__2020 > Chênh lệch tạm thời VND > 341.139.993.405,numeric__2020 > Giá trị tính thuế VND > 49.382.336.088
Thay đổi các chênh lệch tạm thời được khấu trừ,Thay đổi các chênh lệch tạm thời được khấu trừ,Thay đổi các chênh lệch tạm thời được khấu trừ,6.266.475.890,1.253.295.178,6266475890.0,1253295178.0
Lỗ tính thuế đã hết hiệu lực,Lỗ tính thuế đã hết hiệu lực,Lỗ tính thuế đã hết hiệu lực,(71.277.759.860),(7.229.888.030),-71277759860.0,-7229888030.0
Lỗ tính thuế đã sử dụng,Lỗ tính thuế đã sử dụng,Lỗ tính thuế đã sử dụng,(27.533.222.937),(6.052.226.227),-27533222937.0,-6052226227.0
Lỗ tính thuế tăng trong năm,Lỗ tính thuế tăng trong năm,Lỗ tính thuế tăng trong năm,90.074.216.816,23.932.430.677,90074216816.0,23932430677.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,338.669.703.314,61.285.947.686,338669703314.0,61285947686.0
