row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,557.784.111.372,139.990.807.616,697.774.918.988,557784111372.0,139990807616.0,697774918988.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,5.340.207.751,5.340.207.751,,5340207751.0,5340207751.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 12),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 12),-,3.895.673.360,3.895.673.360,,3895673360.0,3895673360.0
Tại ngày 31 tháng 12 năm 2022 (*),Nguyên giá > Tại ngày 31 tháng 12 năm 2022 (*),Tại ngày 31 tháng 12 năm 2022 (*),557.784.111.372,149.226.688.727,707.010.800.099,557784111372.0,149226688727.0,707010800099.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2022,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,-,46.926.615.165,46.926.615.165,,46926615165.0,46926615165.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,17.385.915.606,17.385.915.606,,17385915606.0,17385915606.0
Tại ngày 31 tháng 12 năm 2022,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,-,64.312.530.771,64.312.530.771,,64312530771.0,64312530771.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,557.784.111.372,93.064.192.451,650.848.303.823,557784111372.0,93064192451.0,650848303823.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,557.784.111.372,84.914.157.956,642.698.269.328,557784111372.0,84914157956.0,642698269328.0
