row_label_raw,row_label_full,(b),Số dư với các bên liên quan,Số dư với các bên liên quan_1,Số dư với các bên liên quan_2,numeric__Số dư với các bên liên quan,numeric__Số dư với các bên liên quan_1,numeric__Số dư với các bên liên quan_2
(b),(b),(b),,2022VND,2021VND,,,
i),i),i),Phải thu ngắn hạn của khách hàng (Thuyết minh 5),Phải thu ngắn hạn của khách hàng (Thuyết minh 5),Phải thu ngắn hạn của khách hàng (Thuyết minh 5),,,
i),i) > i),i),Hội Doanh nhân Trẻ Thành phố Hồ Chí Minh,265.600.000,-,,265600000.0,
ii),ii),ii),Trà trước cho nhà cung cấp (Thuyết minh 6),Trà trước cho nhà cung cấp (Thuyết minh 6),Trà trước cho nhà cung cấp (Thuyết minh 6),,,
ii),ii) > ii),ii),Công ty TNHH Sản xuất Thương mạiKhông gian Vàng,84.092.727,-,,84092727.0,
ii),ii) > ii),ii),Hội Doanh nhân Trẻ Thành phố Hồ Chí Minh,50.000.000,686.743.139,,50000000.0,686743139.0
ii),ii) > ii),ii),,134.092.727,686.743.139,,134092727.0,686743139.0
iii),iii),iii),Phải trả người bán ngắn hạn (Thuyết minh 13),Phải trả người bán ngắn hạn (Thuyết minh 13),Phải trả người bán ngắn hạn (Thuyết minh 13),,,
iii),iii) > iii),iii),Công ty Cổ phần Sản xuất Thương mạiDịch vụ Ngôi nhà Sài Gòn,25.492.500,25.492.500,,25492500.0,25492500.0
iv),iv),iv),Phải trả ngắn hạn khác (Thuyết minh 18),Phải trả ngắn hạn khác (Thuyết minh 18),Phải trả ngắn hạn khác (Thuyết minh 18),,,
iv),iv) > iv),iv),Các thành viên Hội đồng Quản trịvà Ban Điều hành,11.418.221.742,10.084.181.002,,11418221742.0,10084181002.0
