row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,155.952.121.770,310.867.298.929,48.446.261.508,118.348.947.219,633.614.629.426,155952121770.0,310867298929.0,48446261508.0,118348947219.0,633614629426.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,336.742.733,35.317.392.295,3.056.584.672,4.302.741.416,43.013.461.116,336742733.0,35317392295.0,3056584672.0,4302741416.0,43013461116.0
Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 12),Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 12),-,104.000.000,-,-,104.000.000,,104000000.0,,,104000000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.322.236.759),(711.800.000),(1.916.716.342),(3.950.753.101),,-1322236759.0,-711800000.0,-1916716342.0,-3950753101.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,156.288.864.503,344.966.454.465,50.791.046.180,120.734.972.293,672.781.337.441,156288864503.0,344966454465.0,50791046180.0,120734972293.0,672781337441.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2022,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,59.607.786.150,215.626.422.625,26.208.276.661,73.034.955.830,374.477.441.266,59607786150.0,215626422625.0,26208276661.0,73034955830.0,374477441266.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.515.689.367,33.949.065.777,5.762.676.735,13.903.029.486,62.130.461.365,8515689367.0,33949065777.0,5762676735.0,13903029486.0,62130461365.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.275.678.462),(711.800.000),(1.573.638.475),(3.561.116.937),,-1275678462.0,-711800000.0,-1573638475.0,-3561116937.0
Tại ngày 31 tháng 12 năm 2022,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,68.123.475.517,248.299.809.940,31.259.153.396,85.364.346.841,433.046.785.694,68123475517.0,248299809940.0,31259153396.0,85364346841.0,433046785694.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,96.344.335.620,95.240.876.304,22.237.984.847,45.313.991.389,259.137.188.160,96344335620.0,95240876304.0,22237984847.0,45313991389.0,259137188160.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,88.165.388.986,96.666.644.525,19.531.892.784,35.370.625.452,239.734.551.747,88165388986.0,96666644525.0,19531892784.0,35370625452.0,239734551747.0
