row_label_raw,row_label_full,Họ và tên,Chức danh,col_2,col_3,numeric__Chức danh,numeric__col_2,numeric__col_3
"Thành viên Hội đồng Quản trị (""HDQT"")","Thành viên Hội đồng Quản trị (""HDQT"")","Thành viên Hội đồng Quản trị (""HDQT"")","Thành viên Hội đồng Quản trị (""HDQT"")","Thành viên Hội đồng Quản trị (""HDQT"")","Thành viên Hội đồng Quản trị (""HDQT"")",,,
Bà Cao Thị Ngọc Dung,"Thành viên Hội đồng Quản trị (""HDQT"") > Bà Cao Thị Ngọc Dung",Bà Cao Thị Ngọc Dung,"Chủ tịch HDQT, Trường Tiểu ban Chiến lược – Tài chính",630.000.000,568.304.058,,630000000.0,568304058.0
Bà Cao Thị Ngọc Dung,"Thành viên Hội đồng Quản trị (""HDQT"") > Bà Cao Thị Ngọc Dung",Bà Cao Thị Ngọc Dung,"Phó Chủ tịch HDQT, Tổng Giám đốc (*)",60.333.333,-,,60333333.0,
Ông Lê Trí Thông,"Thành viên Hội đồng Quản trị (""HDQT"") > Ông Lê Trí Thông",Ông Lê Trí Thông,"Thành viên HDQT, Chủ tịch Ủy ban Kiểm toán",263.291.667,105.000.000,,263291667.0,105000000.0
Ông Lê Quang Phúc,"Thành viên Hội đồng Quản trị (""HDQT"") > Ông Lê Quang Phúc",Ông Lê Quang Phúc,"Thành viên HDQT, Giám đốc Cao cấp – Tài chính (*)",37.708.333,-,,37708333.0,
Bà Đặng Thị Lải,"Thành viên Hội đồng Quản trị (""HDQT"") > Bà Đặng Thị Lải",Bà Đặng Thị Lải,"Thành viên HDQT, Giám đốc Cao cấp – Chiến lược",30.166.667,-,,30166667.0,
Ông Đào Trung Kiên,"Thành viên Hội đồng Quản trị (""HDQT"") > Ông Đào Trung Kiên",Ông Đào Trung Kiên,"Thành viên HDQT, Trường Tiểu ban ESG (*)",280.000.000,-,,280000000.0,
Bà Trần Phương Ngọc Thảo,"Thành viên Hội đồng Quản trị (""HDQT"") > Bà Trần Phương Ngọc Thảo",Bà Trần Phương Ngọc Thảo,Thành viên HDQT,200.000.000,75.000.000,,200000000.0,75000000.0
Bà Huỳnh Thị Xuân Liên,"Thành viên Hội đồng Quản trị (""HDQT"") > Bà Huỳnh Thị Xuân Liên",Bà Huỳnh Thị Xuân Liên,"Thành viên HDQT, Trường Tiểu ban Nhân sự – Tiền lương",185.583.333,75.000.000,,185583333.0,75000000.0
Bà Tiêu Yến Trình,"Thành viên Hội đồng Quản trị (""HDQT"") > Bà Tiêu Yến Trình",Bà Tiêu Yến Trình,Thành viên HDQT,200.666.667,75.000.000,,200666667.0,75000000.0
,,,,1.887.750.000,898.304.058,,1887750000.0,898304058.0
Thành viên Ban Điều hành,Thành viên Ban Điều hành,Thành viên Ban Điều hành,Thành viên Ban Điều hành,Thành viên Ban Điều hành,Thành viên Ban Điều hành,,,
Ông Lê Trí Thông,Thành viên Ban Điều hành > Ông Lê Trí Thông,Ông Lê Trí Thông,Tổng Giám đốc,530.000.000,490.000.000,,530000000.0,490000000.0
Bình quân một thành viên Ban Điều hành,Thành viên Ban Điều hành > Bình quân một thành viên Ban Điều hành,Bình quân một thành viên Ban Điều hành,Giám đốc Cao cấp,228.184.607,201.499.874,,228184607.0,201499874.0
,,,,758.184.607,691.499.874,,758184607.0,691499874.0
