row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dư vốncổ phầnVND,Cổ phiếu quỹVND,Quỹ đầu tưphát triểnVND,LNST chưaphân phốiVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dư vốncổ phầnVND,numeric__Cổ phiếu quỹVND,numeric__Quỹ đầu tưphát triểnVND,numeric__LNST chưaphân phốiVND,numeric__Tổng cộngVND
Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,2.276.123.620.000,991.261.882.458,(3.384.090.000),372.779.556.918,1.605.080.895.632,5.241.861.865.008,2276123620000.0,991261882458.0,-3384090000.0,372779556918.0,1605080895632.0,5241861865008.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.029.042.165.645,1.029.042.165.645,,,,,1029042165645.0,1029042165645.0
Phân phối cổ tức,Phân phối cổ tức,Phân phối cổ tức,-,-,-,-,(181.893.250.400),(181.893.250.400),,,,,-181893250400.0,-181893250400.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(1.524.800.000),-,-,(1.524.800.000),,,-1524800000.0,,,-1524800000.0
"Trích quỹ khen thưởng, phúc lợi(Thuyết minh 20)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 20)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 20)",-,-,-,-,(53.466.000.000),(53.466.000.000),,,,,-53466000000.0,-53466000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,427.724.000.000,(427.724.000.000),-,,,,427724000000.0,-427724000000.0,
Trích thưởng Hội đồng Quản trị vàBan Điều hành,Trích thưởng Hội đồng Quản trị vàBan Điều hành,Trích thưởng Hội đồng Quản trị vàBan Điều hành,-,-,-,-,(21.386.000.000),(21.386.000.000),,,,,-21386000000.0,-21386000000.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,2.276.123.620.000,991.261.882.458,(4.908.890.000),800.503.556.918,1.949.653.810.877,6.012.633.980.253,2276123620000.0,991261882458.0,-4908890000.0,800503556918.0,1949653810877.0,6012633980253.0
Vốn giảm trong năm (i),Vốn giảm trong năm (i),Vốn giảm trong năm (i),(762.400.000),(797.400.000),1.524.800.000,-,-,(35.000.000),-762400000.0,-797400000.0,1524800000.0,,,-35000000.0
Vốn tăng trong năm từ phát hành mới (ii),Vốn tăng trong năm từ phát hành mới (ii),Vốn tăng trong năm từ phát hành mới (ii),150.000.000.000,1.260.946.550.000,-,-,-,1.410.946.550.000,150000000000.0,1260946550000.0,,,,1410946550000.0
Phát hành cổ phiếu theo chương trình lựachọn cho người lao động (iii),Phát hành cổ phiếu theo chương trình lựachọn cho người lao động (iii),Phát hành cổ phiếu theo chương trình lựachọn cho người lao động (iii),36.354.980.000,(35.000.000),-,-,-,36.319.980.000,36354980000.0,-35000000.0,,,,36319980000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.810.691.843.397,1.810.691.843.397,,,,,1810691843397.0,1810691843397.0
Phân phối cổ tức (Thuyết minh 26) (iv),Phân phối cổ tức (Thuyết minh 26) (iv),Phân phối cổ tức (Thuyết minh 26) (iv),-,-,-,-,(762.662.698.800),(762.662.698.800),,,,,-762662698800.0,-762662698800.0
"Trích quỹ khen thưởng, phúc lợi(Thuyết minh 20) (v)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 20) (v)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 20) (v)",-,-,-,-,(51.452.000.000),(51.452.000.000),,,,,-51452000000.0,-51452000000.0
Trích quỹ đầu tư phát triển (v),Trích quỹ đầu tư phát triển (v),Trích quỹ đầu tư phát triển (v),-,-,-,411.617.000.000,(411.617.000.000),-,,,,411617000000.0,-411617000000.0,
Trích thưởng Hội đồng Quản trị vàBan Điều hành (v),Trích thưởng Hội đồng Quản trị vàBan Điều hành (v),Trích thưởng Hội đồng Quản trị vàBan Điều hành (v),-,-,-,-,(12.348.000.000),(12.348.000.000),,,,,-12348000000.0,-12348000000.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,2.461.716.200.000,2.251.376.032.458,(3.384.090.000),1.212.120.556.918,2.522.265.955.474,8.444.094.654.850,2461716200000.0,2251376032458.0,-3384090000.0,1212120556918.0,2522265955474.0,8444094654850.0
