row_label_raw,row_label_full,Tại ngày1.1.2022VND,TăngVND,GiảmVND,Tại ngày31.12.2022VND,numeric__TăngVND,numeric__GiảmVND,numeric__Tại ngày31.12.2022VND
398.800.000.000,398.800.000.000,398.800.000.000,792.555.474.443,(833.355.474.443),358.000.000.000,792555474443.0,-833355474443.0,358000000000.0
764.417.632.142,764.417.632.142,764.417.632.142,1.041.801.035.462,(1.082.855.750.634),723.362.916.970,1041801035462.0,-1082855750634.0,723362916970.0
269.959.271.800,269.959.271.800,269.959.271.800,273.732.123.360,(543.691.395.160),-,273732123360.0,-543691395160.0,
-,-,-,131.073.789.740,(131.073.789.740),-,131073789740.0,-131073789740.0,
52.020.791.882,52.020.791.882,52.020.791.882,664.593.099.901,(347.881.297.768),368.732.594.015,664593099901.0,-347881297768.0,368732594015.0
86.686.381.740,86.686.381.740,86.686.381.740,99.430.270.491,(136.116.652.231),50.000.000.000,99430270491.0,-136116652231.0,50000000000.0
-,-,-,264.029.190.900,(264.029.190.900),-,264029190900.0,-264029190900.0,
693.167.317.617,693.167.317.617,693.167.317.617,1.559.965.698.771,(1.513.944.305.260),739.188.711.128,1559965698771.0,-1513944305260.0,739188711128.0
-,-,-,8.650.759.812,(8.650.759.812),-,8650759812.0,-8650759812.0,
91.800.000.000,91.800.000.000,91.800.000.000,108.000.000.000,(91.800.000.000),108.000.000.000,108000000000.0,-91800000000.0,108000000000.0
-,-,-,283.154.947.141,(283.154.947.141),-,283154947141.0,-283154947141.0,
282.932.584.960,282.932.584.960,282.932.584.960,110.598.960.000,(393.531.544.960),-,110598960000.0,-393531544960.0,
-,-,-,316.518.424.500,(226.487.475.300),90.030.949.200,316518424500.0,-226487475300.0,90030949200.0
2.216.065.600,2.216.065.600,2.216.065.600,80.000.000.000,(82.216.065.600),-,80000000000.0,-82216065600.0,
-,-,-,326.825.254.280,(113.526.528.480),213.298.725.800,326825254280.0,-113526528480.0,213298725800.0
79.930.655.403,79.930.655.403,79.930.655.403,200.325.938.405,(247.824.615.149),32.431.978.659,200325938405.0,-247824615149.0,32431978659.0
2.721.930.701.144,2.721.930.701.144,2.721.930.701.144,6.261.254.967.206,(6.300.139.792.578),2.683.045.875.772,6261254967206.0,-6300139792578.0,2683045875772.0
