row_label_raw,row_label_full,TÀI SẢN,MS,TM,31/12/2019VND,01/01/2019VND,numeric__MS,numeric__TM,numeric__31/12/2019VND,numeric__01/01/2019VND
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,2.169.133.641.441,2.002.933.945.678,100.0,,2169133641441.0,2002933945678.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5.1,59.544.521.446,76.644.572.623,110.0,51.0,59544521446.0,76644572623.0
1. Tiền,1. Tiền,1. Tiền,111,,44.744.521.446,6.459.367.143,111.0,,44744521446.0,6459367143.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,14.800.000.000,70.185.205.480,112.0,,14800000000.0,70185205480.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5.4,61.403.931.812,60.314.980.583,120.0,54.0,61403931812.0,60314980583.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,61.403.931.812,60.314.980.583,123.0,,61403931812.0,60314980583.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,2.047.186.278.417,1.864.662.198.217,130.0,,2047186278417.0,1864662198217.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.2,1.387.438.331.021,1.375.540.252.890,131.0,52.0,1387438331021.0,1375540252890.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.3,72.297.930.295,76.863.817.640,132.0,53.0,72297930295.0,76863817640.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,,327.381.147.712,204.774.270.000,135.0,,327381147712.0,204774270000.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,5.5,291.972.568.899,229.099.157.344,136.0,55.0,291972568899.0,229099157344.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,5..6,(31.903.699.510),(21.615.299.657),137.0,56.0,-31903699510.0,-21615299657.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,5.8,729.671.640,884.877.920,140.0,58.0,729671640.0,884877920.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,729.671.640,884.877.920,141.0,,729671640.0,884877920.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,269.238.126,427.316.335,150.0,,269238126.0,427316335.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,5.11,71.424.187,229.991.623,151.0,511.0,71424187.0,229991623.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,100.880.139,100.390.912,152.0,,100880139.0,100390912.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,5.13,96.933.800,96.933.800,153.0,513.0,96933800.0,96933800.0
B TÀI SẢN DÀI HẠN,B TÀI SẢN DÀI HẠN,B TÀI SẢN DÀI HẠN,200,,3.390.900.867.667,3.842.042.035.026,200.0,,3390900867667.0,3842042035026.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,342.730.313.798,385.924.813.112,210.0,,342730313798.0,385924813112.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,5.5,342.730.313.798,385.924.813.112,216.0,55.0,342730313798.0,385924813112.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,11.722.195.283,17.363.951.163,220.0,,11722195283.0,17363951163.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,5.7,11.251.113.141,16.091.076.862,221.0,57.0,11251113141.0,16091076862.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,37.888.792.149,41.197.396.335,222.0,,37888792149.0,41197396335.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(26.637.679.008),(25.106.319.473),223.0,,-26637679008.0,-25106319473.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,5.9,471.082.142,1.272.874.301,227.0,59.0,471082142.0,1272874301.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,3.028.204.888,3.028.204.888,228.0,,3028204888.0,3028204888.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(2.557.122.746),(1.755.330.587),229.0,,-2557122746.0,-1755330587.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,,-,-,230.0,,,
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,5.10,1.003.303.080.617,1.094.891.017.854,240.0,510.0,1003303080617.0,1094891017854.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,,1.003.303.080.617,1.094.891.017.854,242.0,,1003303080617.0,1094891017854.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,5.4,2.031.366.687.462,2.341.869.706.645,250.0,54.0,2031366687462.0,2341869706645.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,1.551.361.316.160,1.861.194.335.343,251.0,,1551361316160.0,1861194335343.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,455.079.205.000,454.419.205.000,252.0,,455079205000.0,454419205000.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,,24.130.000.000,24.130.000.000,253.0,,24130000000.0,24130000000.0
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,,(4.203.833.698),(2.873.833.698),254.0,,-4203833698.0,-2873833698.0
5. Đầu tư nằm giữ đến ngày đáo hạn,5. Đầu tư nằm giữ đến ngày đáo hạn,5. Đầu tư nằm giữ đến ngày đáo hạn,255,,5.000.000.000,5.000.000.000,255.0,,5000000000.0,5000000000.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,1.778.590.507,1.992.546.252,260.0,,1778590507.0,1992546252.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,5.11,1.778.590.507,1.992.546.252,261.0,511.0,1778590507.0,1992546252.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,5.560.034.509.108,5.844.975.980.704,270.0,,5560034509108.0,5844975980704.0
