row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm 2019VND > 47.320.497.671,Năm 2018VND > 74.783.091.086,numeric__Năm 2019VND > 47.320.497.671,numeric__Năm 2018VND > 74.783.091.086
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,13.717.119.075,20.595.467.557,13717119075.0,20595467557.0
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,168.206.895,366.227.541,168206895.0,366227541.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,2.476.889.042,2.757.277.907,2476889042.0,2757277907.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",126.591.424,185.977.054,126591424.0,185977054.0
Chi phí dự phòng/Hoàn nhập dự phòng,Chi phí dự phòng/Hoàn nhập dự phòng,Chi phí dự phòng/Hoàn nhập dự phòng,10.306.109.853,21.615.299.657,10306109853.0,21615299657.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,5.146.053.379,6.559.269.447,5146053379.0,6559269447.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,15.379.528.003,22.703.571.923,15379528003.0,22703571923.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,2.078.884.683,15.997.189.452,2078884683.0,15997189452.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,1.321.152.073,270.170.854,1321152073.0,270170854.0
"Chi phí dụng cụ, đồ dùng","Chi phí dụng cụ, đồ dùng","Chi phí dụng cụ, đồ dùng",1.612.000,-,1612000.0,
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,477.526.922,366.096.309,477526922.0,366096309.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,278.593.688,15.360.922.289,278593688.0,15360922289.0
Tổng,Tổng,Tổng,49.399.382.354,90.780.280.538,49399382354.0,90780280538.0
