row_label_raw,row_label_full,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO),THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_1,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_2,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_3,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_4,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_5,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_6,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_1,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_2,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_3,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_4,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_5,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_6
5.4 Các khoản đầu tư tài chính,5.4 Các khoản đầu tư tài chính,5.4 Các khoản đầu tư tài chính,5.4 Các khoản đầu tư tài chính,5.4 Các khoản đầu tư tài chính,5.4 Các khoản đầu tư tài chính,5.4 Các khoản đầu tư tài chính,5.4 Các khoản đầu tư tài chính,5.4 Các khoản đầu tư tài chính,,,,,,
,,,,,31/12/2019,31/12/2019,01/01/2019,01/01/2019,,,,,,
,,,,,Giá gốc,Giá trị ghi số,Giá gốc,Giá trị ghi số,,,,,,
Đầu tư nằm giữ đến ngày đáo hạn,5.4 Các khoản đầu tư tài chính > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,66.403.931.812,66.403.931.812,65.314.980.583,65.314.980.583,,,66403931812.0,66403931812.0,65314980583.0,65314980583.0
Ngắn hạn,5.4 Các khoản đầu tư tài chính > Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,61.403.931.812,61.403.931.812,60.314.980.583,60.314.980.583,,,61403931812.0,61403931812.0,60314980583.0,60314980583.0
Tiền gửi có kỳ hạn,5.4 Các khoản đầu tư tài chính > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,61.403.931.812,61.403.931.812,60.314.980.583,60.314.980.583,,,61403931812.0,61403931812.0,60314980583.0,60314980583.0
Dài hạn,5.4 Các khoản đầu tư tài chính > Dài hạn,Dài hạn,Dài hạn,Dài hạn,5.000.000.000,5.000.000.000,5.000.000.000,5.000.000.000,,,5000000000.0,5000000000.0,5000000000.0,5000000000.0
Trái phiếu,5.4 Các khoản đầu tư tài chính > Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,5.000.000.000,5.000.000.000,5.000.000.000,5.000.000.000,,,5000000000.0,5000000000.0,5000000000.0,5000000000.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,,,,
,,,31/12/2019,31/12/2019,31/12/2019,01/01/2019,01/01/2019,01/01/2019,,,,,,
,,,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
