row_label_raw,row_label_full,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO),THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_1,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_2,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_3,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_4,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_5,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_1,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_2,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_3,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_4,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_5
5.19 Vốn chủ sở hữua. Đối chiếu biến động vốn chủ sở hữuDon vị tính: VND,5.19 Vốn chủ sở hữua. Đối chiếu biến động vốn chủ sở hữuDon vị tính: VND,5.19 Vốn chủ sở hữua. Đối chiếu biến động vốn chủ sở hữuDon vị tính: VND,5.19 Vốn chủ sở hữua. Đối chiếu biến động vốn chủ sở hữuDon vị tính: VND,5.19 Vốn chủ sở hữua. Đối chiếu biến động vốn chủ sở hữuDon vị tính: VND,5.19 Vốn chủ sở hữua. Đối chiếu biến động vốn chủ sở hữuDon vị tính: VND,5.19 Vốn chủ sở hữua. Đối chiếu biến động vốn chủ sở hữuDon vị tính: VND,5.19 Vốn chủ sở hữua. Đối chiếu biến động vốn chủ sở hữuDon vị tính: VND,,,,,
Khoản mục,Khoản mục,Khoản mục,Vốn gópcủa chủ sở hữu,Thặng dưvốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,Tổng,,,,,
Tại ngày 01/01/2018,Khoản mục > Tại ngày 01/01/2018,Tại ngày 01/01/2018,2.510.589.130.000,85.174.473.675,98.515.473.161,508.670.894.748,3.202.949.971.584,2510589130000.0,85174473675.0,98515473161.0,508670894748.0,3202949971584.0
Tăng vốn từ chi trả cổ tức bằngcổ phiếu trong năm trước,Khoản mục > Tăng vốn từ chi trả cổ tức bằngcổ phiếu trong năm trước,Tăng vốn từ chi trả cổ tức bằngcổ phiếu trong năm trước,175.730.520.000,-,-,-,175.730.520.000,175730520000.0,,,,175730520000.0
Lãi trong năm trước,Khoản mục > Lãi trong năm trước,Lãi trong năm trước,-,-,-,162.908.167.948,162.908.167.948,,,,162908167948.0,162908167948.0
Tăng khác,Khoản mục > Tăng khác,Tăng khác,-,-,14.876.800.000,362.376.925,15.239.176.925,,,14876800000.0,362376925.0,15239176925.0
Trích lập các quỹ,Khoản mục > Trích lập các quỹ,Trích lập các quỹ,-,-,-,(17.851.800.000),(17.851.800.000),,,,-17851800000.0,-17851800000.0
Chi trả cổ tức,Khoản mục > Chi trả cổ tức,Chi trả cổ tức,-,-,-,(301.259.976.500),(301.259.976.500),,,,-301259976500.0,-301259976500.0
Giảm khác,Khoản mục > Giảm khác,Giảm khác,-,(186.422.489),-,(130.014.254),(316.436.743),,-186422489.0,,-130014254.0,-316436743.0
Tại ngày 31/12/2018,Khoản mục > Tại ngày 31/12/2018,Tại ngày 31/12/2018,2.686.319.650.000,84.988.051.186,113.392.273.161,352.699.648.867,3.237.399.623.214,2686319650000.0,84988051186.0,113392273161.0,352699648867.0,3237399623214.0
Tại ngày 01/01/2019,Khoản mục > Tại ngày 01/01/2019,Tại ngày 01/01/2019,2.686.319.650.000,84.988.051.186,113.392.273.161,352.699.648.867,3.237.399.623.214,2686319650000.0,84988051186.0,113392273161.0,352699648867.0,3237399623214.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,,,,,
Lãi trong năm nay,Tăng vốn trong năm nay > Lãi trong năm nay,Lãi trong năm nay,-,-,-,85.176.452.533,85.176.452.533,,,,85176452533.0,85176452533.0
Tăng khác,Tăng vốn trong năm nay > Tăng khác,Tăng khác,-,-,3.861.000.000,1.665.444.061,5.526.444.061,,,3861000000.0,1665444061.0,5526444061.0
Trích lập các quỹ,Tăng vốn trong năm nay > Trích lập các quỹ,Trích lập các quỹ,-,-,-,(4.633.000.000),(4.633.000.000),,,,-4633000000.0,-4633000000.0
Giảm khác,Tăng vốn trong năm nay > Giảm khác,Giảm khác,-,(66.885.197),-,-,(66.885.197),,-66885197.0,,,-66885197.0
Tại ngày 31/12/2019,Tăng vốn trong năm nay > Tại ngày 31/12/2019,Tại ngày 31/12/2019,2.686.319.650.000,84.921.165.989,117.253.273.161,434.908.545.461,3.323.402.634.611,2686319650000.0,84921165989.0,117253273161.0,434908545461.0,3323402634611.0
