row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH (TIẾP THEO),THUYẾT MINH BẢO CẢO TÀI CHÍNH (TIẾP THEO)_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH (TIẾP THEO)_2,THUYẾT MINH BẢO CẢO TÀI CHÍNH (TIẾP THEO)_3,THUYẾT MINH BẢO CẢO TÀI CHÍNH (TIẾP THEO)_4,THUYẾT MINH BẢO CẢO TÀI CHÍNH (TIẾP THEO)_5,THUYẾT MINH BẢO CẢO TÀI CHÍNH (TIẾP THEO)_6,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH (TIẾP THEO)_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH (TIẾP THEO)_2,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH (TIẾP THEO)_3,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH (TIẾP THEO)_4,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH (TIẾP THEO)_5,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH (TIẾP THEO)_6
5.4 Các khoản đầu tư tài chính (Tiếp theo),5.4 Các khoản đầu tư tài chính (Tiếp theo),5.4 Các khoản đầu tư tài chính (Tiếp theo),5.4 Các khoản đầu tư tài chính (Tiếp theo),5.4 Các khoản đầu tư tài chính (Tiếp theo),5.4 Các khoản đầu tư tài chính (Tiếp theo),5.4 Các khoản đầu tư tài chính (Tiếp theo),5.4 Các khoản đầu tư tài chính (Tiếp theo),5.4 Các khoản đầu tư tài chính (Tiếp theo),,,,,,
,,,31/12/2019,31/12/2019,31/12/2019,01/01/2019,01/01/2019,01/01/2019,,,,,,
,,,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
"Đầu tư vào công ty liên doanh, liên kết","5.4 Các khoản đầu tư tài chính (Tiếp theo) > Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",455.079.205.000,(*),(2.873.833.698),454.419.205.000,(*),(2.873.833.698),455079205000.0,,-2873833698.0,454419205000.0,,-2873833698.0
Công ty CP Tasco Năng Lượng,5.4 Các khoản đầu tư tài chính (Tiếp theo) > Công ty CP Tasco Năng Lượng,Công ty CP Tasco Năng Lượng,121.800.000.000,,-,121.800.000.000,,-,121800000000.0,,,121800000000.0,,
Tổng công ty,5.4 Các khoản đầu tư tài chính (Tiếp theo) > Tổng công ty,Tổng công ty,239.567.505.000,(**),-,239.567.505.000,(**),-,239567505000.0,,,239567505000.0,,
Thăng Long - CTCP,Thăng Long - CTCP,Thăng Long - CTCP,,,,,,,,,,,,
Công ty TNHH BOT Hùng Thắng- Phú Thọ,Thăng Long - CTCP > Công ty TNHH BOT Hùng Thắng- Phú Thọ,Công ty TNHH BOT Hùng Thắng- Phú Thọ,69.000.000.000,,-,69.000.000.000,,-,69000000000.0,,,69000000000.0,,
Công ty CP Bất động sản,Thăng Long - CTCP > Công ty CP Bất động sản,Công ty CP Bất động sản,20.911.700.000,-,(2.336.336.527),20.251.700.000,-,(2.336.336.527),20911700000.0,,-2336336527.0,20251700000.0,,-2336336527.0
Thái An,Thái An,Thái An,,,,,,,,,,,,
Công ty CP Tasco Thăng Long,Thái An > Công ty CP Tasco Thăng Long,Công ty CP Tasco Thăng Long,1.800.000.000,,-,1.800.000.000,,-,1800000000.0,,,1800000000.0,,
Công ty CP D - Tech,Thái An > Công ty CP D - Tech,Công ty CP D - Tech,2.000.000.000,-,(537.497.171),2.000.000.000,-,(537.497.171),2000000000.0,,-537497171.0,2000000000.0,,-537497171.0
,,,31/12/2019,31/12/2019,31/12/2019,01/01/2019,01/01/2019,01/01/2019,,,,,,
,,,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
Đầu tư vào đơn vị khác,Thái An > Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,24.130.000.000,(*),(1.330.000.000),24.130.000.000,(*),-,24130000000.0,,-1330000000.0,24130000000.0,,
Công ty Cổ phần COTABIG,Thái An > Công ty Cổ phần COTABIG,Công ty Cổ phần COTABIG,300.000.000,,-,300.000.000,,-,300000000.0,,,300000000.0,,
Công ty CP Đầu tư phát triển nhà và đô thị HUD 8,Thái An > Công ty CP Đầu tư phát triển nhà và đô thị HUD 8,Công ty CP Đầu tư phát triển nhà và đô thị HUD 8,4.500.000.000,,-,4.500.000.000,,-,4500000000.0,,,4500000000.0,,
Công ty CP TIC,Thái An > Công ty CP TIC,Công ty CP TIC,1.330.000.000,-,(1.330.000.000),1.330.000.000,,-,1330000000.0,,-1330000000.0,1330000000.0,,
Công ty TNHH Môi trường Tasco Cù Chi,Thái An > Công ty TNHH Môi trường Tasco Cù Chi,Công ty TNHH Môi trường Tasco Cù Chi,18.000.000.000,,,18.000.000.000,,,18000000000.0,,,18000000000.0,,
