row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,MS,TM,31/12/2019VND,01/01/2019VND,numeric__NGUỒN VỐN_1,numeric__MS,numeric__TM,numeric__31/12/2019VND,numeric__01/01/2019VND
C,C,C,NỘ PHẢI TRẢ,300,,2.236.631.874.497,2.607.576.357.490,,300.0,,2236631874497.0,2607576357490.0
I.,I.,I.,Nợ ngắn hạn,310,,1.311.136.252.352,1.353.944.963.798,,310.0,,1311136252352.0,1353944963798.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,5.15,266.637.599.105,304.869.943.828,,311.0,515.0,266637599105.0,304869943828.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,5.12,40.417.763.654,118.283.675.643,,312.0,512.0,40417763654.0,118283675643.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,5.13,11.681.356.582,12.500.866.201,,313.0,513.0,11681356582.0,12500866201.0
4.,4.,4.,Phải trả người lao động,314,,4.200.778.535,4.342.854.630,,314.0,,4200778535.0,4342854630.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,5.16,73.128.736.226,49.337.877.072,,315.0,516.0,73128736226.0,49337877072.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,5.17,-,159.135.485,,318.0,517.0,,159135485.0
7.,7.,7.,Phải trả ngắn hạn khác,319,5.18,719.558.183.992,697.654.527.720,,319.0,518.0,719558183992.0,697654527720.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,5.14,174.602.445.477,146.118.598.271,,320.0,514.0,174602445477.0,146118598271.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,20.909.388.781,20.677.484.948,,322.0,,20909388781.0,20677484948.0
II.,II.,II.,Nợ dài hạn,330,,925.495.622.145,1.253.631.393.692,,330.0,,925495622145.0,1253631393692.0
1.,1.,1.,Doanh thu chưa thực hiện dài hạn,336,5.17,826.962.150,3.513.492.814,,336.0,517.0,826962150.0,3513492814.0
2.,2.,2.,Phải trả dài hạn khác,337,5.18,561.641.144.654,906.126.385.537,,337.0,518.0,561641144654.0,906126385537.0
3.,3.,3.,Vay và nợ thuê tài chính dài hạn,338,5.14,363.027.515.341,343.991.515.341,,338.0,514.0,363027515341.0,343991515341.0
D,D,D,VỐN CHỦ SỞ HỮU,400,,3.323.402.634.611,3.237.399.623.214,,400.0,,3323402634611.0,3237399623214.0
I.,I.,I.,Vốn chủ sở hữu,410,5.19,3.323.402.634.611,3.237.399.623.214,,410.0,519.0,3323402634611.0,3237399623214.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,2.686.319.650.000,2.686.319.650.000,,411.0,,2686319650000.0,2686319650000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.686.319.650.000,2.686.319.650.000,,,,2686319650000.0,2686319650000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,84.921.165.989,84.988.051.186,,412.0,,84921165989.0,84988051186.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,117.253.273.161,113.392.273.161,,418.0,,117253273161.0,113392273161.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,434.908.545.461,352.699.648.867,,421.0,,434908545461.0,352699648867.0
,,,- LNST chưa phân phối lũy kếđến cuối kỳ trước,421a,,349.732.092.928,189.429.103.994,,,,349732092928.0,189429103994.0
,,,- LNST chưa phân phối kỳ này,421b,,85.176.452.533,163.270.544.873,,,,85176452533.0,163270544873.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,5.560.034.509.108,5.844.975.980.704,,440.0,,5560034509108.0,5844975980704.0
