row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2019VND,Giá trị ghi sổ > 01/01/2019VND,numeric__Giá trị ghi sổ > 31/12/2019VND,numeric__Giá trị ghi sổ > 01/01/2019VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,59.544.521.446,76.644.572.623,59544521446.0,76644572623.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.990.237.514.208,1.968.948.923.689,1990237514208.0,1968948923689.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,327.381.147.712,204.774.270.000,327381147712.0,204774270000.0
Đầu tư ngắn hạn,Tài sản tài chính > Đầu tư ngắn hạn,Đầu tư ngắn hạn,61.403.931.812,60.314.980.583,61403931812.0,60314980583.0
Đầu tư dài hạn,Tài sản tài chính > Đầu tư dài hạn,Đầu tư dài hạn,29.130.000.000,29.130.000.000,29130000000.0,29130000000.0
Tổng,Tài sản tài chính > Tổng,Tổng,2.467.697.115.178,2.339.812.746.895,2467697115178.0,2339812746895.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,537.629.960.818,490.110.113.612,537629960818.0,490110113612.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.547.836.927.751,1.908.650.857.085,1547836927751.0,1908650857085.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,73.128.736.226,49.337.877.072,73128736226.0,49337877072.0
Tổng,Công nợ tài chính > Tổng,Tổng,2.158.595.624.795,2.448.098.847.769,2158595624795.0,2448098847769.0
