row_label_raw,row_label_full,col_0,31/12/2019 > Giá trị,31/12/2019 > Dự phòng,31/12/2019 > Giá trị_1,01/01/2019 > Dự phòng,01/01/2019,01/01/2019_1,numeric__31/12/2019 > Giá trị,numeric__31/12/2019 > Dự phòng,numeric__31/12/2019 > Giá trị_1,numeric__01/01/2019 > Dự phòng,numeric__01/01/2019,numeric__01/01/2019_1
Ngắn hạn,Ngắn hạn,Ngắn hạn,291.972.568.899,-,229.099.157.344,(17.710.000),,,291972568899.0,,229099157344.0,-17710000.0,,
Thuế GTGT chưa kê khai,Thuế GTGT chưa kê khai,Thuế GTGT chưa kê khai,-,-,-,-,,,,,,,,
Phải thu về cổ tức và lợi nhuận được chia,Thuế GTGT chưa kê khai > Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,140.009.388.904,-,98.182.319.519,-,,,140009388904.0,,98182319519.0,,,
Tạm ứng,Thuế GTGT chưa kê khai > Tạm ứng,Tạm ứng,26.852.223.253,-,28.895.520.995,-,,,26852223253.0,,28895520995.0,,,
Phải thu UBND Quận Nam Từ Liêm giá trị hoàn trả suất đầu tư hạ tầng của các lô đất công cộng thuộc dự án Sinh Thái Xuân Phương,Thuế GTGT chưa kê khai > Phải thu UBND Quận Nam Từ Liêm giá trị hoàn trả suất đầu tư hạ tầng của các lô đất công cộng thuộc dự án Sinh Thái Xuân Phương,Phải thu UBND Quận Nam Từ Liêm giá trị hoàn trả suất đầu tư hạ tầng của các lô đất công cộng thuộc dự án Sinh Thái Xuân Phương,48.324.177.720,-,48.324.177.720,-,,,48324177720.0,,48324177720.0,,,
Ban QLDA quận Nam Từ Liêm,Thuế GTGT chưa kê khai > Ban QLDA quận Nam Từ Liêm,Ban QLDA quận Nam Từ Liêm,-,-,9.411.831.881,-,,,,,9411831881.0,,,
Phải thu khác,Thuế GTGT chưa kê khai > Phải thu khác,Phải thu khác,76.786.779.022,-,44.285.307.229,(17.710.000),,,76786779022.0,,44285307229.0,-17710000.0,,
Dài hạn,Thuế GTGT chưa kê khai > Dài hạn,Dài hạn,342.730.313.798,-,385.924.813.112,-,,,342730313798.0,,385924813112.0,,,
Phải thu dài hạn Chi phí đầu tư xây dựng tuyến tránh TP Nam Định đoạn từ QL10 đến TT Mỹ Lộc (BOT),Thuế GTGT chưa kê khai > Phải thu dài hạn Chi phí đầu tư xây dựng tuyến tránh TP Nam Định đoạn từ QL10 đến TT Mỹ Lộc (BOT),Phải thu dài hạn Chi phí đầu tư xây dựng tuyến tránh TP Nam Định đoạn từ QL10 đến TT Mỹ Lộc (BOT),284.176.659.088,-,326.496.967.144,-,,,284176659088.0,,326496967144.0,,,
Phải thu khác,Thuế GTGT chưa kê khai > Phải thu khác,Phải thu khác,58.553.654.710,-,59.427.845.968,-,,,58553654710.0,,59427845968.0,,,
5.6 Dự phòng công nợ phải thu khó đòi,5.6 Dự phòng công nợ phải thu khó đòi,5.6 Dự phòng công nợ phải thu khó đòi,5.6 Dự phòng công nợ phải thu khó đòi,5.6 Dự phòng công nợ phải thu khó đòi,5.6 Dự phòng công nợ phải thu khó đòi,5.6 Dự phòng công nợ phải thu khó đòi,5.6 Dự phòng công nợ phải thu khó đòi,5.6 Dự phòng công nợ phải thu khó đòi,,,,,,
,,,31/12/2019,31/12/2019,01/01/2019,01/01/2019,Đơn vị tính: VND,Đơn vị tính: VND,,,,,,
,,,Giá gốc,Giá trị có thể thu hồi,Thời gian quá hạn,Giá gốc,Giá trị có thể thu hồi,Thời gian quá hạn,,,,,,
"Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","5.6 Dự phòng công nợ phải thu khó đòi > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi",31.903.699.510,-,,21.615.299.657,-,,31903699510.0,,,21615299657.0,,
Công ty CP Thủy điện,5.6 Dự phòng công nợ phải thu khó đòi > Công ty CP Thủy điện,Công ty CP Thủy điện,-,-,,17.710.000,-,Trên 3 năm,,,,17710000.0,,
MEGASTAR - Hồng Nam,MEGASTAR - Hồng Nam,MEGASTAR - Hồng Nam,,,,,,,,,,,,
Công ty CP TIC,MEGASTAR - Hồng Nam > Công ty CP TIC,Công ty CP TIC,30.853.699.510,-,Trên 3 năm,21.597.589.657,-,Trên 3 năm,30853699510.0,,,21597589657.0,,
Công ty CP Thẩm định giá và đầu tư VIC,MEGASTAR - Hồng Nam > Công ty CP Thẩm định giá và đầu tư VIC,Công ty CP Thẩm định giá và đầu tư VIC,50.000.000,-,Trên 3 năm,-,-,,50000000.0,,,,,
Công ty CP Đầu tư và Thương mại Thiên Hà,MEGASTAR - Hồng Nam > Công ty CP Đầu tư và Thương mại Thiên Hà,Công ty CP Đầu tư và Thương mại Thiên Hà,1.000.000.000,-,Trên 3 năm,-,-,,1000000000.0,,,,,
Tổng,MEGASTAR - Hồng Nam > Tổng,Tổng,31.903.699.510,-,,21.615.299.657,-,,31903699510.0,,,21615299657.0,,
