row_label_raw,row_label_full,THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIÉP THEO),THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIÉP THEO)_1,THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIÉP THEO)_2,THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIÉP THEO)_3,THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIÉP THEO)_4,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIÉP THEO)_1,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIÉP THEO)_2,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIÉP THEO)_3,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIÉP THEO)_4
5.15 Phải trả người bánDon vị tính: VND,5.15 Phải trả người bánDon vị tính: VND,5.15 Phải trả người bánDon vị tính: VND,5.15 Phải trả người bánDon vị tính: VND,5.15 Phải trả người bánDon vị tính: VND,5.15 Phải trả người bánDon vị tính: VND,5.15 Phải trả người bánDon vị tính: VND,,,,
,,,31/12/2019,31/12/2019,01/01/2019,01/01/2019,,,,
,,,Giá trị,Số cókhả năng trả nợ,Giá trị,Số cókhả năng trả nợ,,,,
Các khoản phải trả người bán ngắn hạn,5.15 Phải trả người bánDon vị tính: VND > Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,266.637.599.105,266.637.599.105,304.869.943.828,304.869.943.828,266637599105.0,266637599105.0,304869943828.0,304869943828.0
Công ty Cổ phầnXây dựng NASACO,5.15 Phải trả người bánDon vị tính: VND > Công ty Cổ phầnXây dựng NASACO,Công ty Cổ phầnXây dựng NASACO,10.623.356.771,10.623.356.771,13.183.813.420,13.183.813.420,10623356771.0,10623356771.0,13183813420.0,13183813420.0
Công ty CP Sông Hồng,5.15 Phải trả người bánDon vị tính: VND > Công ty CP Sông Hồng,Công ty CP Sông Hồng,17.465.589.000,17.465.589.000,-,-,17465589000.0,17465589000.0,,
Công ty CP xây dựng giao thông Yên Bái,5.15 Phải trả người bánDon vị tính: VND > Công ty CP xây dựng giao thông Yên Bái,Công ty CP xây dựng giao thông Yên Bái,24.625.755.821,24.625.755.821,24.625.755.821,24.625.755.821,24625755821.0,24625755821.0,24625755821.0,24625755821.0
Công ty cổ phần Đầu tư & xây dựng HUD3,5.15 Phải trả người bánDon vị tính: VND > Công ty cổ phần Đầu tư & xây dựng HUD3,Công ty cổ phần Đầu tư & xây dựng HUD3,5.850.006.218,5.850.006.218,14.131.569.995,14.131.569.995,5850006218.0,5850006218.0,14131569995.0,14131569995.0
Công ty Cổ phần Đầu tư xây dựng Constrexim,5.15 Phải trả người bánDon vị tính: VND > Công ty Cổ phần Đầu tư xây dựng Constrexim,Công ty Cổ phần Đầu tư xây dựng Constrexim,6.255.364.110,6.255.364.110,15.702.194.840,15.702.194.840,6255364110.0,6255364110.0,15702194840.0,15702194840.0
Công ty Cổ phần Dịch vụ kỹ thuật,5.15 Phải trả người bánDon vị tính: VND > Công ty Cổ phần Dịch vụ kỹ thuật,Công ty Cổ phần Dịch vụ kỹ thuật,3.055.942.821,3.055.942.821,5.423.213.078,5.423.213.078,3055942821.0,3055942821.0,5423213078.0,5423213078.0
Tổng Công ty Thăng Long - CTCP,5.15 Phải trả người bánDon vị tính: VND > Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,98.259.078.127,98.259.078.127,48.321.888.820,48.321.888.820,98259078127.0,98259078127.0,48321888820.0,48321888820.0
Đối tượng khác,5.15 Phải trả người bánDon vị tính: VND > Đối tượng khác,Đối tượng khác,100.502.506.237,100.502.506.237,183.481.507.854,183.481.507.854,100502506237.0,100502506237.0,183481507854.0,183481507854.0
Tổng,5.15 Phải trả người bánDon vị tính: VND > Tổng,Tổng,266.637.599.105,266.637.599.105,304.869.943.828,304.869.943.828,266637599105.0,266637599105.0,304869943828.0,304869943828.0
Phải trả người bán là các bên liên quan,5.15 Phải trả người bánDon vị tính: VND > Phải trả người bán là các bên liên quan,Phải trả người bán là các bên liên quan,100.275.642.623,100.275.642.623,50.855.622.037,50.855.622.037,100275642623.0,100275642623.0,50855622037.0,50855622037.0
