row_label_raw,row_label_full,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO),THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO) > 31/12/2019VND,THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO) > 01/01/2019VND,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO) > 31/12/2019VND,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO) > 01/01/2019VND
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,1.114.908.607,5.175.776.176,1114908607.0,5175776176.0
Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,214.908.607,5.175.776.176,214908607.0,5175776176.0
Công ty TNHH An Nhiên Foods,Công ty TNHH An Nhiên Foods,Công ty TNHH An Nhiên Foods,900.000.000,-,900000000.0,
Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,134.480.318.472,118.356.496.192,134480318472.0,118356496192.0
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,1.291.422.803,381.514.213,1291422803.0,381514213.0
Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,92.644.329.473,95.544.329.473,92644329473.0,95544329473.0
Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,-,309.598.338,,309598338.0
Công ty Cổ phần VETC,Công ty Cổ phần VETC,Công ty Cổ phần VETC,485.484.931,464.657.534,485484931.0,464657534.0
Công ty TNHH Thu phí tự động VETC,Công ty TNHH Thu phí tự động VETC,Công ty TNHH Thu phí tự động VETC,30.435.807.512,12.375.578.940,30435807512.0,12375578940.0
Công ty Cổ phần Tasco Thành Công,Công ty Cổ phần Tasco Thành Công,Công ty Cổ phần Tasco Thành Công,745.140.000,1.307.027.489,745140000.0,1307027489.0
Công ty TNHH An Nhiên Foods,Công ty TNHH An Nhiên Foods,Công ty TNHH An Nhiên Foods,1.902.476.186,988.132.354,1902476186.0,988132354.0
Công ty CP Bệnh viện mất Hà Nội cơ sở 2,Công ty CP Bệnh viện mất Hà Nội cơ sở 2,Công ty CP Bệnh viện mất Hà Nội cơ sở 2,6.874.392.767,5.538.936.482,6874392767.0,5538936482.0
Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,-,1.345.456.569,,1345456569.0
Công ty Cổ phần Bất động sản Thái An,Công ty Cổ phần Bất động sản Thái An,Công ty Cổ phần Bất động sản Thái An,101.264.800,101.264.800,101264800.0,101264800.0
Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,284.176.659.088,326.496.967.144,284176659088.0,326496967144.0
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,284.176.659.088,326.496.967.144,284176659088.0,326496967144.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,100.275.642.623,50.855.622.037,100275642623.0,50855622037.0
Công ty TNHH Đào tạo và Tư vấn TASEDU,Công ty TNHH Đào tạo và Tư vấn TASEDU,Công ty TNHH Đào tạo và Tư vấn TASEDU,538.706,538.706,538706.0,538706.0
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,-,360.304.408,,360304408.0
Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,98.259.078.127,48.321.888.820,98259078127.0,48321888820.0
Công ty Cổ phần Bất động sản Thái An,Công ty Cổ phần Bất động sản Thái An,Công ty Cổ phần Bất động sản Thái An,617.968.605,617.968.605,617968605.0,617968605.0
Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH MTV Dịch vụ Tasco,1.398.057.185,1.554.921.498,1398057185.0,1554921498.0
Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,7.736.850.708,1.809.936.986,7736850708.0,1809936986.0
Công ty TNHH THospital,Công ty TNHH THospital,Công ty TNHH THospital,5.191.766.439,1.809.936.986,5191766439.0,1809936986.0
Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,2.545.084.269,-,2545084269.0,
Phải trả khác dài hạn,Phải trả khác dài hạn,Phải trả khác dài hạn,35.377.723.940,379.825.338.148,35377723940.0,379825338148.0
Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,499.301.684,343.086.919.205,499301684.0,343086919205.0
Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,34.878.422.256,36.738.418.943,34878422256.0,36738418943.0
Vay và nợ,Vay và nợ,Vay và nợ,105.550.000.000,98.370.562.520,105550000000.0,98370562520.0
Công ty TNHH THospital,Công ty TNHH THospital,Công ty TNHH THospital,74.150.000.000,61.000.000.000,74150000000.0,61000000000.0
Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,31.400.000.000,37.370.562.520,31400000000.0,37370562520.0
