row_label_raw,row_label_full,col_0,31/12/2019VND,Đơn vị tính: VND01/01/2019VND,numeric__31/12/2019VND,numeric__Đơn vị tính: VND01/01/2019VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,719.558.183.992,697.654.527.720,719558183992.0,697654527720.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,14.270.051,12.476.694,14270051.0,12476694.0
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,56.037.625,68.180.385,56037625.0,68180385.0
Bảo hiểm y tế,Bảo hiểm y tế,Bảo hiểm y tế,9.606.450,11.688.066,9606450.0,11688066.0
Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,3.202.150,3.896.022,3202150.0,3896022.0
Tiền sử dụng đất dự án Khu nhà ở sinh thái Xuân phương chờ đốitrừ giá trị đầu tư dự án BT Lê Đức Thọ (ii),Tiền sử dụng đất dự án Khu nhà ở sinh thái Xuân phương chờ đốitrừ giá trị đầu tư dự án BT Lê Đức Thọ (ii),Tiền sử dụng đất dự án Khu nhà ở sinh thái Xuân phương chờ đốitrừ giá trị đầu tư dự án BT Lê Đức Thọ (ii),631.485.168.980,631.485.168.980,631485168980.0,631485168980.0
"Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",10.379.981.120,10.804.007.220,10379981120.0,10804007220.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",77.609.917.616,55.269.110.353,77609917616.0,55269110353.0
Dài hạn,Dài hạn,Dài hạn,561.641.144.654,906.126.385.537,561641144654.0,906126385537.0
Công ty CP Tư vấn đầu tư xây dựng Việt Hà (i),Công ty CP Tư vấn đầu tư xây dựng Việt Hà (i),Công ty CP Tư vấn đầu tư xây dựng Việt Hà (i),428.063.150.000,406.993.150.000,428063150000.0,406993150000.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,133.577.994.654,499.133.235.537,133577994654.0,499133235537.0
Tổng,Tổng,Tổng,1.281.199.328.646,1.603.780.913.257,1281199328646.0,1603780913257.0
