row_label_raw,row_label_full,Mục đích sử dụng vốn,Số tiền theo phương án sử dụng vốn (VND),Số tiền đã sử dụng lũy kế đến ngày 31/12/2023 (VND),Số tiền chưa sử dụng hết tại ngày 31/12/2023 (VND),numeric__Số tiền theo phương án sử dụng vốn (VND),numeric__Số tiền đã sử dụng lũy kế đến ngày 31/12/2023 (VND),numeric__Số tiền chưa sử dụng hết tại ngày 31/12/2023 (VND)
Mục đích sử dụng vốn,Mục đích sử dụng vốn,Mục đích sử dụng vốn,(1),(2),(3) = (1) - (2),-1.0,-2.0,
"Đầu tư Dự án Khu đô thị mới Bắc Vũng Tàu, Phường 12, Tỉnh Bà Rịa - Vũng Tàu","Đầu tư Dự án Khu đô thị mới Bắc Vũng Tàu, Phường 12, Tỉnh Bà Rịa - Vũng Tàu","Đầu tư Dự án Khu đô thị mới Bắc Vũng Tàu, Phường 12, Tỉnh Bà Rịa - Vũng Tàu",749.957.000.000,588.909.215.899,161.047.784.101,749957000000.0,588909215899.0,161047784101.0
Thanh toán khoản tiền còn thiếu cho Công ty Cổ phần Đầu tư và Phát triển Tân Long,Thanh toán khoản tiền còn thiếu cho Công ty Cổ phần Đầu tư và Phát triển Tân Long,Thanh toán khoản tiền còn thiếu cho Công ty Cổ phần Đầu tư và Phát triển Tân Long,749.900.000.000,749.900.000.000,,749900000000.0,749900000000.0,
Cộng,Cộng,Cộng,1.499.857.000.000,1.338.809.215.899,161.047.784.101,1499857000000.0,1338809215899.0,161047784101.0
