row_label_raw,row_label_full,Số dư đầu năm trước (ii),Vốn góp của chủ sở hữu > 4.998.909.620.000,Thặng dư vốn cổ phần > 1.121.119.538.421,Vốn khác của chủ sở hữu > 2.812.000.000,Quỹ đầu tư Lợi nhuận sau thuế phát triển > 229.992.552.096,chưa phân phối > 1.111.416.213.358,Đơn vị tính: VND Tổng cộng > 7.464.249.923.875,numeric__Vốn góp của chủ sở hữu > 4.998.909.620.000,numeric__Thặng dư vốn cổ phần > 1.121.119.538.421,numeric__Vốn khác của chủ sở hữu > 2.812.000.000,numeric__Quỹ đầu tư Lợi nhuận sau thuế phát triển > 229.992.552.096,numeric__chưa phân phối > 1.111.416.213.358,numeric__Đơn vị tính: VND Tổng cộng > 7.464.249.923.875
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),849.728.490.000,,-,,(849.728.490.000),-,849728490000.0,,,,-849728490000.0,
Tăng vốn bằng nguồn thẳng dư vốn cổ phần và quỹ đầu tư phát triển (i),Tăng vốn bằng nguồn thẳng dư vốn cổ phần và quỹ đầu tư phát triển (i),Tăng vốn bằng nguồn thẳng dư vốn cổ phần và quỹ đầu tư phát triển (i),249.881.840.000,(74.782.000.000),-,(175.099.840.000),-,-,249881840000.0,-74782000000.0,,-175099840000.0,,
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,144.128.258.788,144.128.258.788,,,,,144128258788.0,144128258788.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,29.792.750.013,(29.792.750.013),-,,,,29792750013.0,-29792750013.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(70.123.917.862),(70.123.917.862),,,,,-70123917862.0,-70123917862.0
Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,-,-,8.163.110.000,-,(8.163.110.000),-,,,8163110000.0,,-8163110000.0,
Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,-,-,-,1.575.631,(245.107.204),(243.531.573),,,,1575631.0,-245107204.0,-243531573.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,6.098.519.950.000,1.046.337.538.421,10.975.110.000,84.687.037.740,297.491.097.067,7.538.010.733.228,6098519950000.0,1046337538421.0,10975110000.0,84687037740.0,297491097067.0,7538010733228.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,118.727.079.683,118.727.079.683,,,,,118727079683.0,118727079683.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,63.258.913,(63.258.913),-,,,,63258913.0,-63258913.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(6.987.313.072),(6.987.313.072),,,,,-6987313072.0,-6987313072.0
Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,-,-,3.920.000.000,,(3.920.000.000),-,,,3920000000.0,,-3920000000.0,
Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,,,,539.569,1.775.316,2.314.885,,,,539569.0,1775316.0,2314885.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,6.098.519.950.000,1.046.337.538.421,14.895.110.000,84.750.836.222,405.249.380.081,7.649.752.814.724,6098519950000.0,1046337538421.0,14895110000.0,84750836222.0,405249380081.0,7649752814724.0
