row_label_raw,row_label_full,Số dư đầu năm > Lợi nhuận thuần phân bổ cho cổ đông không kiểm soát trong năm,Năm nayVND > 256.724.273.854 > (7.103.871.126),Năm trướcVND > 207.233.015.560 > 47.237.777.683,numeric__Năm nayVND > 256.724.273.854 > (7.103.871.126),numeric__Năm trướcVND > 207.233.015.560 > 47.237.777.683
Giảm do giải thể công ty con,Giảm do giải thể công ty con,Giảm do giải thể công ty con,(4.634.879.933),-,-4634879933.0,
Tăng vốn của cổ động không kiểm soát,Tăng vốn của cổ động không kiểm soát,Tăng vốn của cổ động không kiểm soát,250.000.000,2.905.000.000,250000000.0,2905000000.0
Tăng/(giảm) do thay đổi tỷ lệ lợi ích trong năm,Tăng/(giảm) do thay đổi tỷ lệ lợi ích trong năm,Tăng/(giảm) do thay đổi tỷ lệ lợi ích trong năm,(2.314.885),243.531.573,-2314885.0,243531573.0
Giảm do chia cổ tức bằng tiền,Giảm do chia cổ tức bằng tiền,Giảm do chia cổ tức bằng tiền,(989.441.000),-,-989441000.0,
"Giảm do trích quỹ khen thưởng, phúc lợi","Giảm do trích quỹ khen thưởng, phúc lợi","Giảm do trích quỹ khen thưởng, phúc lợi",(438.699.599),(895.050.962),-438699599.0,-895050962.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,243.805.067.311,256.724.273.854,243805067311.0,256724273854.0
