row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2023,01/01/2023,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023,numeric__01/01/2023
A. TÀI SẢN NGÁN HẠN,A. TÀI SẢN NGÁN HẠN,A. TÀI SẢN NGÁN HẠN,100,,13.978.090.756.849,10.877.019.373.058,100.0,,13978090756849.0,10877019373058.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,V.1,2.307.305.744.085,245.914.234.531,110.0,,2307305744085.0,245914234531.0
1. Tiền,1. Tiền,1. Tiền,111,,2.296.937.418.845,236.424.019.112,111.0,,2296937418845.0,236424019112.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,10.368.325.240,9.490.215.419,112.0,,10368325240.0,9490215419.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,196.710.000.000,176.857.553.417,120.0,,196710000000.0,176857553417.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,V.2,196.710.000.000,176.857.553.417,123.0,,196710000000.0,176857553417.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,4.704.512.368.219,4.336.772.938.536,130.0,,4704512368219.0,4336772938536.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,V.3,1.037.431.749.701,1.219.270.256.242,131.0,,1037431749701.0,1219270256242.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,V.4,213.206.573.008,207.703.572.359,132.0,,213206573008.0,207703572359.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,V.5,277.450.000.000,266.130.000.000,135.0,,277450000000.0,266130000000.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,V.6,3.199.940.372.128,2.667.065.407.318,136.0,,3199940372128.0,2667065407318.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(23.517.646.618),(23.397.617.383),137.0,,-23517646618.0,-23397617383.0
6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,139,,1.320.000,1.320.000,139.0,,1320000.0,1320000.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,V.8,6.551.257.807.732,5.923.303.752.238,140.0,,6551257807732.0,5923303752238.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,6.553.691.313.316,5.925.737.257.822,141.0,,6553691313316.0,5925737257822.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(2.433.505.584),(2.433.505.584),149.0,,-2433505584.0,-2433505584.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,218.304.836.813,194.170.894.336,150.0,,218304836813.0,194170894336.0
1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,151,V.9,186.173.087.708,158.752.644.233,151.0,,186173087708.0,158752644233.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,14.676.635.397,22.381.668.161,152.0,,14676635397.0,22381668161.0
3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,153,V.17,17.455.113.708,13.036.581.942,153.0,,17455113708.0,13036581942.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,2.849.516.181.739,3.870.776.854.827,200.0,,2849516181739.0,3870776854827.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,1.381.178.201.509,2.381.712.421.430,210.0,,1381178201509.0,2381712421430.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,V.6,1.381.178.201.509,2.381.712.421.430,216.0,,1381178201509.0,2381712421430.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,761.204.116.128,717.459.864.599,220.0,,761204116128.0,717459864599.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,V.10,725.914.518.383,674.360.239.308,221.0,,725914518383.0,674360239308.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,1.092.451.275.649,1.025.640.804.886,222.0,,1092451275649.0,1025640804886.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(366.536.757.266),(351.280.565.578),223.0,,-366536757266.0,-351280565578.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,V.11,35.289.597.745,43.099.625.291,227.0,,35289597745.0,43099625291.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,38.015.580.874,45.413.736.874,228.0,,38015580874.0,45413736874.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(2.725.983.129),(2.314.111.583),229.0,,-2725983129.0,-2314111583.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,V.12,113.155.731.231,103.767.439.988,230.0,,113155731231.0,103767439988.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,156.733.240.773,144.455.832.878,231.0,,156733240773.0,144455832878.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,232,,(43.577.509.542),(40.688.392.890),232.0,,-43577509542.0,-40688392890.0
