row_label_raw,row_label_full,col_0,col_1,01/01/2023VND,TăngVND,GiảmVND,31/12/2023VND,numeric__col_1,numeric__01/01/2023VND,numeric__TăngVND,numeric__GiảmVND,numeric__31/12/2023VND
Vay ngắn hạn – Bên thứ ba,Vay ngắn hạn – Bên thứ ba,Vay ngắn hạn – Bên thứ ba,Vay ngắn hạn – Bên thứ ba,1.006.741.204.345,2.496.588.846.163,1.353.058.873.760,2.150.271.176.748,,1006741204345.0,2496588846163.0,1353058873760.0,2150271176748.0
Vay ngân hàng (Thuyết minh 22.1),Vay ngân hàng (Thuyết minh 22.1),Vay ngân hàng (Thuyết minh 22.1),Vay ngân hàng (Thuyết minh 22.1),443.867.980.314,725.140.869.479,622.830.428.749,546.178.421.044,,443867980314.0,725140869479.0,622830428749.0,546178421044.0
Vay dài hạn đến hạn trả (Thuyết minh 22.2),Vay dài hạn đến hạn trả (Thuyết minh 22.2),Vay dài hạn đến hạn trả (Thuyết minh 22.2),Vay dài hạn đến hạn trả (Thuyết minh 22.2),346.060.404.038,844.755.998.055,493.148.865.018,697.667.537.075,,346060404038.0,844755998055.0,493148865018.0,697667537075.0
Trái phiếu thường phát hành đến hạn trả (Thuyết minh 22.3),Trái phiếu thường phát hành đến hạn trả (Thuyết minh 22.3),Trái phiếu thường phát hành đến hạn trả (Thuyết minh 22.3),Trái phiếu thường phát hành đến hạn trả (Thuyết minh 22.3),-,891.577.418.629,-,891.577.418.629,,,891577418629.0,,891577418629.0
Vay bên thứ ba,Vay bên thứ ba,Vay bên thứ ba,Vay bên thứ ba,216.812.819.993,35.114.560.000,237.079.579.993,14.847.800.000,,216812819993.0,35114560000.0,237079579993.0,14847800000.0
Vay dài hạn – Bên thứ ba,Vay dài hạn – Bên thứ ba,Vay dài hạn – Bên thứ ba,Vay dài hạn – Bên thứ ba,2.838.326.830.713,1.185.010.391.865,3.061.972.832.897,961.364.389.681,,2838326830713.0,1185010391865.0,3061972832897.0,961364389681.0
Vay ngân hàng (Thuyết minh 22.2),Vay ngân hàng (Thuyết minh 22.2),Vay ngân hàng (Thuyết minh 22.2),Vay ngân hàng (Thuyết minh 22.2),964.056.291.928,934.510.591.865,1.198.792.894.112,699.773.989.681,,964056291928.0,934510591865.0,1198792894112.0,699773989681.0
Trái phiếu thường phát hành (Thuyết minh 22.3),Trái phiếu thường phát hành (Thuyết minh 22.3),Trái phiếu thường phát hành (Thuyết minh 22.3),Trái phiếu thường phát hành (Thuyết minh 22.3),1.861.837.138.785,250.499.800.000,1.861.837.138.785,250.499.800.000,,1861837138785.0,250499800000.0,1861837138785.0,250499800000.0
Vay bên thứ ba,Vay bên thứ ba,Vay bên thứ ba,Vay bên thứ ba,12.433.400.000,-,1.342.800.000,11.090.600.000,,12433400000.0,,1342800000.0,11090600000.0
Cộng,Cộng,Cộng,Cộng,3.845.068.035.058,3.681.599.238.028,4.415.031.706.657,3.111.635.566.429,,3845068035058.0,3681599238028.0,4415031706657.0,3111635566429.0
22.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,22.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,22.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,22.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,22.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,22.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,22.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,22.1. Chi tiết số dư các khoản vay ngắn hạn ngân hàng như sau:,,,,,
Ngân hàng,Ngân hàng,Ngân hàng,Số dưtại 31/12/2023VND,Lãi suất(%/năm),Tài sản đảm bảo,Tài sản đảm bảo,Tài sản đảm bảo,,,,,
