row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Phân bổ trong năm > Số dư cuối năm,Năm nayVND > 145.187.379.673 > - > (17.952.807.208) > 127.234.572.465,Năm trướcVND > 163.140.186.881 > - > (17.952.807.208) > 145.187.379.673,numeric__Năm nayVND > 145.187.379.673 > - > (17.952.807.208) > 127.234.572.465,numeric__Năm trướcVND > 163.140.186.881 > - > (17.952.807.208) > 145.187.379.673
15. Phải trả người bán ngắn hạn,15. Phải trả người bán ngắn hạn,15. Phải trả người bán ngắn hạn,15. Phải trả người bán ngắn hạn,15. Phải trả người bán ngắn hạn,,
,,,31/12/2023VND,01/01/2023VND,,
Phải trả bên thứ ba,15. Phải trả người bán ngắn hạn > Phải trả bên thứ ba,Phải trả bên thứ ba,404.092.542.427,381.297.671.361,404092542427.0,381297671361.0
Công ty TNHH Hai Pha Việt Nam,15. Phải trả người bán ngắn hạn > Công ty TNHH Hai Pha Việt Nam,Công ty TNHH Hai Pha Việt Nam,78.963.615.329,40.640.917.329,78963615329.0,40640917329.0
Phải trả người bán khác (i),15. Phải trả người bán ngắn hạn > Phải trả người bán khác (i),Phải trả người bán khác (i),325.128.927.098,340.656.754.032,325128927098.0,340656754032.0
Phải trả bên liên quan (Thuyết minh VIII.2),15. Phải trả người bán ngắn hạn > Phải trả bên liên quan (Thuyết minh VIII.2),Phải trả bên liên quan (Thuyết minh VIII.2),140.779.593.415,38.727.569.177,140779593415.0,38727569177.0
Cộng,15. Phải trả người bán ngắn hạn > Cộng,Cộng,544.872.135.842,420.025.240.538,544872135842.0,420025240538.0
