row_label_raw,row_label_full,col_0,Quyền sử đất và hạ tầng cho thuê,numeric__Quyền sử đất và hạ tầng cho thuê
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,144.455.832.878,144455832878.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.639.171.895,6639171895.0
Chuyển từ tài sản vô hình sang,Nguyên giá > Chuyển từ tài sản vô hình sang,Chuyển từ tài sản vô hình sang,7.638.156.000,7638156000.0
Thanh lý nhượng bán,Nguyên giá > Thanh lý nhượng bán,Thanh lý nhượng bán,(1.999.920.000),-1999920000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,156.733.240.773,156733240773.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,40.688.392.890,40688392890.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,2.889.116.652,2889116652.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,43.577.509.542,43577509542.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,103.767.439.988,103767439988.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,113.155.731.231,113155731231.0
