row_label_raw,row_label_full,Đầu tư vào công ty liên kết,31/12/2023,31/12/2023_1,01/01/2023,01/01/2023_1,numeric__31/12/2023,numeric__31/12/2023_1,numeric__01/01/2023,numeric__01/01/2023_1
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Tỷ lệ %,Giá gốc VND,Tỷ lệ %,Giá gốc VND,,,,
Công ty CP Xây dựng DIC Holdings,Đầu tư vào công ty liên kết > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,"35,89",191.530.754.242,"35,89",212.842.278.893,35.89,191530754242.0,35.89,212842278893.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Đầu tư vào công ty liên kết > Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,36,47.861.737.803,36,46.813.411.087,36.0,47861737803.0,36.0,46813411087.0
Công ty CP Bất động sản D.I.C,Đầu tư vào công ty liên kết > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,"42,68",59.648.022.462,"42,68",57.370.424.957,42.68,59648022462.0,42.68,57370424957.0
Công ty CP Đầu tư Phát triển Phương Nam,Đầu tư vào công ty liên kết > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,"43,35",,"43,35",,43.35,,43.35,
Cộng,Đầu tư vào công ty liên kết > Cộng,Cộng,299.040.514.507,299.040.514.507,317.026.114.937,317.026.114.937,299040514507.0,299040514507.0,317026114937.0,317026114937.0
