row_label_raw,row_label_full,Dự án Khu đô thị mới Nam Vĩnh Yên (i),31/12/2023VND > 1.956.601.160.549,01/01/2023VND > 1.966.148.860.619,numeric__31/12/2023VND > 1.956.601.160.549,numeric__01/01/2023VND > 1.966.148.860.619
Dự án Khu du lịch đô thị sinh thái Đại Phước (i),Dự án Khu du lịch đô thị sinh thái Đại Phước (i),Dự án Khu du lịch đô thị sinh thái Đại Phước (i),1.320.804.599.020,1.321.402.092.703,1320804599020.0,1321402092703.0
"Dự án Khu dân cư phường 4, Hậu Giang (i)","Dự án Khu dân cư phường 4, Hậu Giang (i)","Dự án Khu dân cư phường 4, Hậu Giang (i)",937.161.739.369,757.567.320.113,937161739369.0,757567320113.0
"Dự án Khu du lịch Long Tân, Nhơn Trạch","Dự án Khu du lịch Long Tân, Nhơn Trạch","Dự án Khu du lịch Long Tân, Nhơn Trạch",613.162.706.905,481.054.996.650,613162706905.0,481054996650.0
Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,358.269.706.145,317.718.382.117,358269706145.0,317718382117.0
"Dự án Căn hộ Chung cư A2-1, Khu Chí Linh Center, Vũng Tàu","Dự án Căn hộ Chung cư A2-1, Khu Chí Linh Center, Vũng Tàu","Dự án Căn hộ Chung cư A2-1, Khu Chí Linh Center, Vũng Tàu",320.306.504.000,-,320306504000.0,
"Dự án Block B Pullman, Vũng Tàu","Dự án Block B Pullman, Vũng Tàu","Dự án Block B Pullman, Vũng Tàu",278.308.171.361,278.262.411.361,278308171361.0,278262411361.0
"Dự án Khu nhà ở Lam Hạ Center Point, TP. Phủ Lý, Hà Nam","Dự án Khu nhà ở Lam Hạ Center Point, TP. Phủ Lý, Hà Nam","Dự án Khu nhà ở Lam Hạ Center Point, TP. Phủ Lý, Hà Nam",212.963.356.176,173.467.496.920,212963356176.0,173467496920.0
"Dự án Khu đô thị đường 51B, Vũng Tàu","Dự án Khu đô thị đường 51B, Vũng Tàu","Dự án Khu đô thị đường 51B, Vũng Tàu",189.765.365.192,99.729.793.872,189765365192.0,99729793872.0
Dự án Điểm du lịch sinh thái Hồ Ba Hang,Dự án Điểm du lịch sinh thái Hồ Ba Hang,Dự án Điểm du lịch sinh thái Hồ Ba Hang,61.978.026.684,21.199.512.910,61978026684.0,21199512910.0
"Dự án Khu dân cư Hiệp Phước, Nhơn Trạch","Dự án Khu dân cư Hiệp Phước, Nhơn Trạch","Dự án Khu dân cư Hiệp Phước, Nhơn Trạch",46.836.724.910,56.072.223.031,46836724910.0,56072223031.0
Các dự án khác,Các dự án khác,Các dự án khác,48.566.048.398,200.522.993.945,48566048398.0,200522993945.0
Cộng,Cộng,Cộng,6.344.724.108.709,5.673.146.084.241,6344724108709.0,5673146084241.0
