row_label_raw,row_label_full,Khách hàng Dự án Khu đô thị mới Nam Vĩnh Yên (i),31/12/2023VND > 375.334.566.258,01/01/2023VND > 429.828.320.169,numeric__31/12/2023VND > 375.334.566.258,numeric__01/01/2023VND > 429.828.320.169
Khách hàng Dự án Chung cư Vũng Tàu Gateway,Khách hàng Dự án Chung cư Vũng Tàu Gateway,Khách hàng Dự án Chung cư Vũng Tàu Gateway,250.663.636.221,276.497.899.593,250663636221.0,276497899593.0
Khách hàng Dự án Khu căn hộ cao cấp DIC Phoenix,Khách hàng Dự án Khu căn hộ cao cấp DIC Phoenix,Khách hàng Dự án Khu căn hộ cao cấp DIC Phoenix,38.048.550.741,108.347.184.716,38048550741.0,108347184716.0
khách hàng Dự án DIC Star Aparts Hotel Vũng Tàu-CSJ,khách hàng Dự án DIC Star Aparts Hotel Vũng Tàu-CSJ,khách hàng Dự án DIC Star Aparts Hotel Vũng Tàu-CSJ,18.505.648.408,32.408.117.844,18505648408.0,32408117844.0
Khách hàng Dự án Trung tâm Chí Linh - Vũng Tàu,Khách hàng Dự án Trung tâm Chí Linh - Vũng Tàu,Khách hàng Dự án Trung tâm Chí Linh - Vũng Tàu,22.850.980.041,22.956.895.041,22850980041.0,22956895041.0
Công ty CP Green Mark Construction,Công ty CP Green Mark Construction,Công ty CP Green Mark Construction,85.893.953.726,80.196.899.741,85893953726.0,80196899741.0
Công ty TNHH Logistics Cái Mép,Công ty TNHH Logistics Cái Mép,Công ty TNHH Logistics Cái Mép,57.280.867.054,79.044.583.162,57280867054.0,79044583162.0
Phải thu ngắn hạn của khách hàng khác (ii),Phải thu ngắn hạn của khách hàng khác (ii),Phải thu ngắn hạn của khách hàng khác (ii),188.853.547.252,189.990.355.976,188853547252.0,189990355976.0
Cộng,Cộng,Cộng,1.037.431.749.701,1.219.270.256.242,1037431749701.0,1219270256242.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu bên thứ ba,Trong đó: > Phải thu bên thứ ba,Phải thu bên thứ ba,1.031.240.280.255,1.212.951.587.414,1031240280255.0,1212951587414.0
Phải thu bên liên quan (Thuyết minh VIII.2),Trong đó: > Phải thu bên liên quan (Thuyết minh VIII.2),Phải thu bên liên quan (Thuyết minh VIII.2),6.191.469.446,6.318.668.828,6191469446.0,6318668828.0
