row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản cố định khác,Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,585.154.034.810,324.001.979.453,87.722.705.287,8.406.337.139,20.355.748.197,1.025.640.804.886,585154034810.0,324001979453.0,87722705287.0,8406337139.0,20355748197.0,1025640804886.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,358.513.600,776.725.391,-,227.015.386,66.000.000,1.428.254.377,358513600.0,776725391.0,,227015386.0,66000000.0,1428254377.0
Đầu tư xây dựng có bản hoàn thành,Nguyên giá > Đầu tư xây dựng có bản hoàn thành,Đầu tư xây dựng có bản hoàn thành,95.291.866.416,4.951.481.600,-,12.281.409.343,710.000.000,113.234.757.359,95291866416.0,4951481600.0,,12281409343.0,710000000.0,113234757359.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.435.514.182),(9.865.733.684),(345.610.093),-,(11.646.857.959),,-1435514182.0,-9865733684.0,-345610093.0,,-11646857959.0
Khác,Nguyên giá > Khác,Khác,(35.916.667.888),(31.500.000),-,(53.423.000),(204.092.126),(36.205.683.014),-35916667888.0,-31500000.0,,-53423000.0,-204092126.0,-36205683014.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,644.887.746.938,328.263.172.262,77.856.971.603,20.515.728.775,20.927.656.071,1.092.451.275.649,644887746938.0,328263172262.0,77856971603.0,20515728775.0,20927656071.0,1092451275649.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,90.036.780.229,199.627.864.974,47.957.349.794,6.253.789.593,7.404.780.988,351.280.565.578,90036780229.0,199627864974.0,47957349794.0,6253789593.0,7404780988.0,351280565578.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,15.574.560.584,18.735.356.889,6.150.592.506,1.730.496.671,2.244.117.753,44.435.124.403,15574560584.0,18735356889.0,6150592506.0,1730496671.0,2244117753.0,44435124403.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.435.514.182),(8.439.594.501),(313.288.869),-,(10.188.397.552),,-1435514182.0,-8439594501.0,-313288869.0,,-10188397552.0
Khác,Giá trị hao mòn luỹ kế > Khác,Khác,(18.823.975.299),(31.500.000),-,(53.423.000),(81.636.864),(18.990.535.163),-18823975299.0,-31500000.0,,-53423000.0,-81636864.0,-18990535163.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,86.787.365.514,216.896.207.681,45.668.347.799,7.617.574.395,9.567.261.877,366.536.757.266,86787365514.0,216896207681.0,45668347799.0,7617574395.0,9567261877.0,366536757266.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,495.117.254.581,124.374.114.479,39.765.355.493,2.152.547.546,12.950.967.209,674.360.239.308,495117254581.0,124374114479.0,39765355493.0,2152547546.0,12950967209.0,674360239308.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,558.100.381.424,111.366.964.581,32.188.623.804,12.898.154.380,11.360.394.194,725.914.518.383,558100381424.0,111366964581.0,32188623804.0,12898154380.0,11360394194.0,725914518383.0
