row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Kinh doanh bất động sản VND,Thương mại và dịch vụ VND,Xây dựng VND,Loại trừ nội bộ VND,Tổng cộng VND,numeric__Kinh doanh bất động sản VND,numeric__Thương mại và dịch vụ VND,numeric__Xây dựng VND,numeric__Loại trừ nội bộ VND,numeric__Tổng cộng VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,1.156.842.035.509,174.419.793.288,862.300.916.523,(296.874.023.043),1.896.688.722.277,1156842035509.0,174419793288.0,862300916523.0,-296874023043.0,1896688722277.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,(600.402.035.765),(135.326.604.246),(820.811.386.237),292.162.770.523,(1.264.377.255.725),-600402035765.0,-135326604246.0,-820811386237.0,292162770523.0,-1264377255725.0
Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,556.439.999.744,39.093.189.042,41.489.530.286,(4.711.252.520),632.311.466.552,556439999744.0,39093189042.0,41489530286.0,-4711252520.0,632311466552.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,(275.877.345.513),,,,,-275877345513.0
Thu nhập tài chính,Thu nhập tài chính,Thu nhập tài chính,,,,,86.806.112.261,,,,,86806112261.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,(264.888.595.709),,,,,-264888595709.0
Lãi trong công ty liên kết,Lãi trong công ty liên kết,Lãi trong công ty liên kết,,,,,5.809.044.858,,,,,5809044858.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,28.616.094.181,,,,,28616094181.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(13.989.752.029),,,,,-13989752029.0
Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,,,,,(41.429.529.642),,,,,-41429529642.0
Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,34.008.541.512,,,,,34008541512.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,191.366.036.471,,,,,191366036471.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,,,,,47.237.777.683,,,,,47237777683.0
Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,,,,,144.128.258.788,,,,,144128258788.0
Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,,,,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,10.366.391.914.916,26.764.598.366,895.371.902.339,(656.262.012.035),10.632.266.403.586,10366391914916.0,26764598366.0,895371902339.0,-656262012035.0,10632266403586.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,4.115.529.824.299,,,,,4115529824299.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,14.747.796.227.885,,,,,14747796227885.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,6.577.539.611.448,26.481.681.699,705.920.203.201,(604.372.127.943),6.705.569.368.405,6577539611448.0,26481681699.0,705920203201.0,-604372127943.0,6705569368405.0
Công nợ không phân bổ,Tài sản và công nợ > Công nợ không phân bổ,Công nợ không phân bổ,,,,,247.491.852.398,,,,,247491852398.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,6.953.061.220.803,,,,,6953061220803.0
