row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.247.080.000,60.469.304.507,39.860.857.949,252.187.877.977,2.895.316.905,361.660.437.338,6247080000.0,60469304507.0,39860857949.0,252187877977.0,2895316905.0,361660437338.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,16.798.819.750,2.758.560.000,2.051.881.446,220.704.000,21.829.965.196,,16798819750.0,2758560000.0,2051881446.0,220704000.0,21829965196.0
Chuyển từ xây dựng cơ bảndở dang,Nguyên giá > Chuyển từ xây dựng cơ bảndở dang,Chuyển từ xây dựng cơ bảndở dang,-,104.053.973.539,-,-,-,104.053.973.539,,104053973539.0,,,,104053973539.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(2.800.000.000),(30.824.000),-,(2.830.824.000),,,-2800000000.0,-30824000.0,,-2830824000.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,-,-,(290.658.500),(120.000.000),(410.658.500),,,,-290658500.0,-120000000.0,-410658500.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.247.080.000,181.322.097.796,39.819.417.949,253.918.276.923,2.996.020.905,484.302.893.573,6247080000.0,181322097796.0,39819417949.0,253918276923.0,2996020905.0,484302893573.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.651.588.222,40.620.334.202,24.198.418.606,201.740.474.751,1.634.813.568,273.845.629.349,5651588222.0,40620334202.0,24198418606.0,201740474751.0,1634813568.0,273845629349.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,178.305.577,13.234.744.144,4.129.391.999,16.610.112.041,590.488.420,34.743.042.181,178305577.0,13234744144.0,4129391999.0,16610112041.0,590488420.0,34743042181.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(2.800.000.000),(30.824.000),-,(2.830.824.000),,,-2800000000.0,-30824000.0,,-2830824000.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,-,-,(290.658.500),(120.000.000),(410.658.500),,,,-290658500.0,-120000000.0,-410658500.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,-,(211.437.808),-,-,-,(211.437.808),,-211437808.0,,,,-211437808.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.829.893.799,53.643.640.538,25.527.810.605,218.029.104.292,2.105.301.988,305.135.751.222,5829893799.0,53643640538.0,25527810605.0,218029104292.0,2105301988.0,305135751222.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,595.491.778,19.848.970.305,15.662.439.343,50.447.403.226,1.260.503.337,87.814.807.989,595491778.0,19848970305.0,15662439343.0,50447403226.0,1260503337.0,87814807989.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,417.186.201,127.678.457.258,14.291.607.344,35.889.172.631,890.718.917,179.167.142.351,417186201.0,127678457258.0,14291607344.0,35889172631.0,890718917.0,179167142351.0
