row_label_raw,row_label_full,col_0,Chi phí thuê văn phòng VND,Chi phí thuê hạ tầng máy chủ VND,Chi phí sữa chữa văn phòng VND,Chi phí trả trước khác VND,Tổng cộng VND,numeric__Chi phí thuê văn phòng VND,numeric__Chi phí thuê hạ tầng máy chủ VND,numeric__Chi phí sữa chữa văn phòng VND,numeric__Chi phí trả trước khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,5.352.761.631,18.900.000.000,4.055.044.235,7.280.603.798,35.588.409.664,5352761631.0,18900000000.0,4055044235.0,7280603798.0,35588409664.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,47.744.280.014,-,-,15.148.789.814,62.893.069.828,47744280014.0,,,15148789814.0,62893069828.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(22.191.488.614),(7.560.000.000),(4.055.044.235),(7.901.790.017),(41.708.322.866),-22191488614.0,-7560000000.0,-4055044235.0,-7901790017.0,-41708322866.0
Thanh lý,Thanh lý,Thanh lý,-,-,-,(15.100.834),(15.100.834),,,,-15100834.0,-15100834.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,30.905.553.031,11.340.000.000,-,14.512.502.761,56.758.055.792,30905553031.0,11340000000.0,,14512502761.0,56758055792.0
