row_label_raw,row_label_full,Tài sân có định vô hình,Tài sân có định vô hình_1,Tài sân có định vô hình_2,Tài sân có định vô hình_3,Tài sân có định vô hình_4,Tài sân có định vô hình_5,numeric__Tài sân có định vô hình_1,numeric__Tài sân có định vô hình_2,numeric__Tài sân có định vô hình_3,numeric__Tài sân có định vô hình_4,numeric__Tài sân có định vô hình_5
,,,Quyềnsử dụng đấtVND,Phần mềmmáy tínhVND,Bản quyềnphần mềmVND,Tài sân cố địnhvô hình khácVND,Tổng cộngVND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,219.338.898.318,341.290.442.742,5.860.531.000,3.555.000.000,570.044.872.060,219338898318.0,341290442742.0,5860531000.0,3555000000.0,570044872060.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,12.956.700.000,-,4.950.000.000,17.906.700.000,,12956700000.0,,4950000000.0,17906700000.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,6.011.477.033,-,-,6.011.477.033,,6011477033.0,,,6011477033.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,219.338.898.318,360.258.619.775,5.860.531.000,8.505.000.000,593.963.049.093,219338898318.0,360258619775.0,5860531000.0,8505000000.0,593963049093.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,30.444.514.877,291.848.190.617,4.507.559.464,3.555.000.000,330.355.264.958,30444514877.0,291848190617.0,4507559464.0,3555000000.0,330355264958.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.966.580.864,8.794.836.162,586.053.100,924.904.110,14.272.374.236,3966580864.0,8794836162.0,586053100.0,924904110.0,14272374236.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,-,(20.339.726),-,-,(20.339.726),,-20339726.0,,,-20339726.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,34.411.095.741,300.622.687.053,5.093.612.564,4.479.904.110,344.607.299.468,34411095741.0,300622687053.0,5093612564.0,4479904110.0,344607299468.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,188.894.383.441,49.442.252.125,1.352.971.536,-,239.689.607.102,188894383441.0,49442252125.0,1352971536.0,,239689607102.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,184.927.802.577,59.635.932.722,766.918.436,4.025.095.890,249.355.749.625,184927802577.0,59635932722.0,766918436.0,4025095890.0,249355749625.0
