row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Bảo cáo kết quả hoạt động kinh doanh hợp nhất,Bảo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Bảo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Bảo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận nội bộchưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộchưa thực hiện,Lợi nhuận nội bộchưa thực hiện,152.064.206.119,155.438.696.267,(3.374.490.148),136.251.958.290,152064206119.0,155438696267.0,-3374490148.0,136251958290.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,31.904.340.177,7.454.403.317,24.449.936.860,1.053.611.425,31904340177.0,7454403317.0,24449936860.0,1053611425.0
Dự phòng các khoản phải thu,Tài sản thuế thu nhập hoãn lại > Dự phòng các khoản phải thu,Dự phòng các khoản phải thu,209.508.301,282.072.002,(72.563.701),-,209508301.0,282072002.0,-72563701.0,
Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Tài sản thuế thu nhập hoãn lại > Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),22.802.486.074,26.851.324.913,(4.048.838.839),15.889.473.143,22802486074.0,26851324913.0,-4048838839.0,15889473143.0
Khác,Tài sản thuế thu nhập hoãn lại > Khác,Khác,255.482.898,255.482.898,-,255.482.898,255482898.0,255482898.0,,255482898.0
,,,207.236.023.569,190.281.979.397,,,207236023569.0,190281979397.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Dự phòng các khoản đầu tư,Thuế thu nhập hoãn lại phải trả > Dự phòng các khoản đầu tư,Dự phòng các khoản đầu tư,(69.592.850.154),(3.272.915.343),(66.319.934.811),(4.572.459.023),-69592850154.0,-3272915343.0,-66319934811.0,-4572459023.0
Khác,Thuế thu nhập hoãn lại phải trả > Khác,Khác,(23.670.889.115),(1.299.543.680),(22.371.345.435),-,-23670889115.0,-1299543680.0,-22371345435.0,
,,,(93.263.739.269),(4.572.459.023),,,-93263739269.0,-4572459023.0,,
Thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,(71.737.236.074),148.878.066.733,,,-71737236074.0,148878066733.0
