row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Vốn khác thuộcchủ sở hữu,Lợi nhuận sau thuếchưa phân phối,Lợi ích cổ đôngkhông kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Vốn khác thuộcchủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__Lợi ích cổ đôngkhông kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,5.200.346.670.000,10.677.980.806,(2.500.560.000),58.104.879.339,6.530.490.000,1.715.781.731.515,2.238.880.176.424,9.227.821.368.084,5200346670000.0,10677980806.0,-2500560000.0,58104879339.0,6530490000.0,1715781731515.0,2238880176424.0,9227821368084.0
Gớp vốn tử cổ đôngkhông kiểm soát,Năm trước > Gớp vốn tử cổ đôngkhông kiểm soát,Gớp vốn tử cổ đôngkhông kiểm soát,-,-,-,-,-,-,1.008.484.545.475,1.008.484.545.475,,,,,,,1008484545475.0,1008484545475.0
Cổ tức bằng cổ phiếu từcông ty con,Năm trước > Cổ tức bằng cổ phiếu từcông ty con,Cổ tức bằng cổ phiếu từcông ty con,-,-,-,-,15.300.000.000,(15.300.000.000),-,-,,,,,15300000000.0,-15300000000.0,,
Cổ tức trả cho cổ đôngkhông kiểm soát,Năm trước > Cổ tức trả cho cổ đôngkhông kiểm soát,Cổ tức trả cho cổ đôngkhông kiểm soát,-,-,-,-,-,-,(430.950.632.113),(430.950.632.113),,,,,,,-430950632113.0,-430950632113.0
(Lỗ) lợi nhuận thuầntrong năm,Năm trước > (Lỗ) lợi nhuận thuầntrong năm,(Lỗ) lợi nhuận thuầntrong năm,-,-,-,-,-,(495.745.392.224),321.675.716.089,(174.069.676.135),,,,,,-495745392224.0,321675716089.0,-174069676135.0
Trích quỹ đầu tưphát triển,Năm trước > Trích quỹ đầu tưphát triển,Trích quỹ đầu tưphát triển,-,-,-,24.251.199.740,-,(24.251.199.740),-,-,,,,24251199740.0,,-24251199740.0,,
"Trích quỹ khen thưởng,phúc lợi","Năm trước > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,-,(78.907.007.357),(26.592.144.668),(105.499.152.025),,,,,,-78907007357.0,-26592144668.0,-105499152025.0
Mua công ty con mới,Năm trước > Mua công ty con mới,Mua công ty con mới,-,-,-,110.368.578,-,-,126.931.973.812,127.042.342.390,,,,110368578.0,,,126931973812.0,127042342390.0
Giảm do thanh lýcông ty con,Năm trước > Giảm do thanh lýcông ty con,Giảm do thanh lýcông ty con,-,-,-,-,-,-,(32.540.934.146),(32.540.934.146),,,,,,,-32540934146.0,-32540934146.0
Thay đổi til lệ sở hữu tạicác công ty con,Năm trước > Thay đổi til lệ sở hữu tạicác công ty con,Thay đổi til lệ sở hữu tạicác công ty con,-,-,-,-,-,(260.105.655.900),(278.332.842.233),(538.438.498.133),,,,,,-260105655900.0,-278332842233.0,-538438498133.0
Khác,Năm trước > Khác,Khác,-,-,-,-,-,(110.368.575),2.301.704.852,2.191.336.277,,,,,,-110368575.0,2301704852.0,2191336277.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,5.200.346.670.000,10.677.980.806,(2.500.560.000),82.466.447.657,21.830.490.000,841.362.107.719,2.929.857.563.492,9.084.040.699.674,5200346670000.0,10677980806.0,-2500560000.0,82466447657.0,21830490000.0,841362107719.0,2929857563492.0,9084040699674.0
