row_label_raw,row_label_full,col_0,VNDNhà cửa vàvật kiến trúc,numeric__VNDNhà cửa vàvật kiến trúc
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,134.590.169.244,134590169244.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,12.494.401.391,12494401391.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,(23.484.134.193),-23484134193.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,123.600.436.442,123600436442.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(6.907.009.773),-6907009773.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(2.993.850.057),-2993850057.0
Thanh lý trong năm,Giá trị khấu hao lũy kế: > Thanh lý trong năm,Thanh lý trong năm,1.307.652.480,1307652480.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(8.593.207.350),-8593207350.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,127.683.159.471,127683159471.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,115.007.229.092,115007229092.0
