row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ lợi ích %,Số cuối năm > Giá trị ghi số VND,Số đầu năm > Tỷ lệ lợi ích %,Số đầu năm > Giá trị ghi số VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ lợi ích %,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số đầu năm > Tỷ lệ lợi ích %,numeric__Số đầu năm > Giá trị ghi số VND
Công ty Cổ phần Đất Xanh Capital (*),Công ty Cổ phần Đất Xanh Capital (*),Công ty Cổ phần Đất Xanh Capital (*),Đầu tư tài chính,49,147.319.036.444,-,-,,49.0,147319036444.0,,
Xuân Định,Xuân Định,Xuân Định,Kinh doanh BĐS,45,109.541.652.951,-,-,,45.0,109541652951.0,,
Công ty TNHH REIC,Công ty TNHH REIC,Công ty TNHH REIC,Kinh doanh BĐS,40,500.000.000,40,500.000.000,,40.0,500000000.0,40.0,500000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,257.360.689.395,,500.000.000,,,257360689395.0,,500000000.0
