row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,"Mãy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sảncố định khác,VNDTổng cộng,numeric__Nhà cửa vàvật kiến trúc,"numeric__Mãy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,257.470.309.075,23.587.519.969,95.866.193.845,27.430.915.021,3.104.359.538,407.459.297.448,257470309075.0,23587519969.0,95866193845.0,27430915021.0,3104359538.0,407459297448.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,17.323.149.155,1.958.247.155,14.338.495.120,260.373.314,293.491.546,34.173.756.290,17323149155.0,1958247155.0,14338495120.0,260373314.0,293491546.0,34173756290.0
Tăng do mua công ty con,Nguyên giá: > Tăng do mua công ty con,Tăng do mua công ty con,139.260.294.651,2.730.707.766,24.352.863.109,1.829.724.680,-,168.173.590.206,139260294651.0,2730707766.0,24352863109.0,1829724680.0,,168173590206.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,-,(4.584.287.248),-,-,(4.584.287.248),,,-4584287248.0,,,-4584287248.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,-,(6.356.084.191),(727.614.541),-,(7.083.698.732),,,-6356084191.0,-727614541.0,,-7083698732.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,414.053.752.881,28.276.474.890,123.617.180.635,28.793.398.474,3.397.851.084,598.138.657.964,414053752881.0,28276474890.0,123617180635.0,28793398474.0,3397851084.0,598138657964.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,180.181.818,219.060.522,7.721.435.753,3.432.726.775,509.090.909,12.062.495.777,180181818.0,219060522.0,7721435753.0,3432726775.0,509090909.0,12062495777.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(17.365.726.594),(7.086.058.212),(43.610.125.991),(12.467.196.327),(1.730.653.882),(82.259.761.006),-17365726594.0,-7086058212.0,-43610125991.0,-12467196327.0,-1730653882.0,-82259761006.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(8.759.815.119),(3.292.482.085),(12.236.726.425),(5.366.021.412),(598.930.905),(30.253.975.946),-8759815119.0,-3292482085.0,-12236726425.0,-5366021412.0,-598930905.0,-30253975946.0
Tăng do mua công ty con,Giá trị khấu hao lũy kế: > Tăng do mua công ty con,Tăng do mua công ty con,(105.644.458.000),(2.623.305.764),(24.146.496.887),(2.262.953.607),-,(134.677.214.258),-105644458000.0,-2623305764.0,-24146496887.0,-2262953607.0,,-134677214258.0
Giảm do thanh lý công ty con,Giá trị khấu hao lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,-,2.983.091.311,-,-,2.983.091.311,,,2983091311.0,,,2983091311.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,-,3.518.647.182,468.074.896,-,3.986.722.078,,,3518647182.0,468074896.0,,3986722078.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(131.769.999.713),(13.001.846.061),(73.491.610.810),(19.628.096.450),(2.329.584.787),(240.221.137.821),-131769999713.0,-13001846061.0,-73491610810.0,-19628096450.0,-2329584787.0,-240221137821.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,240.104.582.481,16.501.461.757,52.256.067.854,14.963.718.694,1.373.705.656,325.199.536.442,240104582481.0,16501461757.0,52256067854.0,14963718694.0,1373705656.0,325199536442.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,282.283.753.168,15.274.628.829,50.125.569.825,9.165.302.024,1.068.266.297,357.917.520.143,282283753168.0,15274628829.0,50125569825.0,9165302024.0,1068266297.0,357917520143.0
Trong đó:The chấp đề đảm bảo các khoản vay(Thuyết minh số 26.1 và 26.4),Giá trị còn lại: > Trong đó:The chấp đề đảm bảo các khoản vay(Thuyết minh số 26.1 và 26.4),Trong đó:The chấp đề đảm bảo các khoản vay(Thuyết minh số 26.1 và 26.4),-,-,31.280.961.527,-,-,31.280.961.527,,,31280961527.0,,,31280961527.0
