row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ biểu quyết,Tỷ lệ biểu quyết_1,numeric__Tên công ty con_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ biểu quyết_1
Tên công ty con,Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tại ngày 31 tháng 12 năm 2021 (%),Tại ngày 31 tháng 12 năm 2020 (%),,,,,
Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),,,,,
(36),Lĩnh vực dịch vụ bất động sản (tiếp theo) > (36),(36),"Công ty Cổ phần Đất Xanh Nam Bộ (""Đất Xanh Nam Bộ"")",Kinh doanh và môi giới BĐS,Đang hoạt động,63,63,,,,63.0,63.0
(37),Lĩnh vực dịch vụ bất động sản (tiếp theo) > (37),(37),"Công ty Cổ phần Đầu tư và Dịch vụ City Real (""City Real"")",Kinh doanh và môi giới BĐS,Đang hoạt động,60,60,,,,60.0,60.0
(38),Lĩnh vực dịch vụ bất động sản (tiếp theo) > (38),(38),"Công ty Cổ phần Đầu tư và Dịch vụ Saigon Real (""Saigon Real"")",Kinh doanh và môi giới BĐS,Đang hoạt động,60,60,,,,60.0,60.0
(39),Lĩnh vực dịch vụ bất động sản (tiếp theo) > (39),(39),"Công ty Cổ phần Phát triển Bất động sản Emerald (""Đất Xanh Emerald"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(40),Lĩnh vực dịch vụ bất động sản (tiếp theo) > (40),(40),"Công ty TNHH MTV Phát triển Đỏ thị (""Đất Xanh Quảng Ngãi"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,100,,,,100.0,100.0
(41),Lĩnh vực dịch vụ bất động sản (tiếp theo) > (41),(41),"Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Đông (""Đất Xanh Miền Đông"")",Kinh doanh và môi giới BĐS,Đang hoạt động,61,61,,,,61.0,61.0
(42),Lĩnh vực dịch vụ bất động sản (tiếp theo) > (42),(42),"Công ty Cổ phần Bất động sản Cần Thơ (""BĐS Cần Thơ"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(43),Lĩnh vực dịch vụ bất động sản (tiếp theo) > (43),(43),"Công ty Cổ phần Dịch vụ Bất động sản Nam Miền Tây (""BĐS Nam Miền Tây"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(44),Lĩnh vực dịch vụ bất động sản (tiếp theo) > (44),(44),"Công ty TNHH MTV Smart Property (""Smart Prop"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,100,,,,100.0,100.0
(45),Lĩnh vực dịch vụ bất động sản (tiếp theo) > (45),(45),"Công ty Cổ phần Dịch vụ và Đầu tư Phát triển Nhà Đông Nam Bộ (""DNB House"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(46),Lĩnh vực dịch vụ bất động sản (tiếp theo) > (46),(46),"Công ty Cổ phần Dịch vụ và Đầu tư Địa ốc Bình Thuận (""Địa ốc Bình Thuận"")",Kinh doanh và môi giới BĐS,Đang hoạt động,"70,34","70,34",,,,70.34,70.34
(47),Lĩnh vực dịch vụ bất động sản (tiếp theo) > (47),(47),"Công ty TNHH Phát triển Đỏ thị Quảng Bình (""Đất Xanh Quảng Bình"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,100,,,,100.0,100.0
(48),Lĩnh vực dịch vụ bất động sản (tiếp theo) > (48),(48),"Công ty Cổ phần Bất động sản S-Homes Group (""S-Homes"") (trước đây là Công ty Cổ phần Dịch vụ và Địa ốc Vinahomes)",Kinh doanh và môi giới BĐS,Đang hoạt động,87,-,,,,87.0,
